DRAW,DRAW_DATE,N1,N2,N3,N4,N5,N6,MULTIPLIER,ESTIMATED_JACKPOT,PRIMES,REPEATED,MEAN
1222,2021-10-02,28,38,42,47,52,1,2,670000000,1,0,41.4
1221,2021-09-29,2,7,11,17,32,11,3,620000000,4,0,13.8
1220,2021-09-27,21,22,39,44,60,12,2,570000000,0,1,37.2
1219,2021-09-25,22,23,37,62,63,19,3,545000000,2,1,41.4
1218,2021-09-22,20,40,47,55,63,5,3,523000000,1,0,45.0
1217,2021-09-20,37,51,54,58,60,19,2,490000000,1,0,52.0
1216,2021-09-18,5,36,39,45,57,11,2,472000000,1,0,36.4
1215,2021-09-15,1,4,18,46,62,25,3,457000000,0,0,26.2
1214,2021-09-13,37,40,50,61,63,21,3,416000000,2,1,50.2
1213,2021-09-11,20,31,38,40,49,21,2,416000000,1,0,35.6
1212,2021-09-08,9,22,41,47,61,21,2,409000000,3,1,36.0
1211,2021-09-06,11,20,22,33,54,24,2,388000000,1,1,28.0
1210,2021-09-04,32,35,40,52,54,1,5,375000000,0,0,42.6
1209,2021-09-01,10,20,29,48,51,17,2,367000000,1,1,31.6
1208,2021-08-30,3,15,45,51,61,8,2,345000000,2,0,35.0
1207,2021-08-28,12,22,26,46,59,26,2,332000000,1,1,33.0
1206,2021-08-25,27,39,54,56,59,24,3,322000000,1,0,47.0
1205,2021-08-23,17,36,47,60,61,15,3,304000000,3,1,44.2
1204,2021-08-21,16,28,36,39,59,4,2,293000000,1,1,35.6
1203,2021-08-18,35,36,51,55,61,26,2,290000000,1,0,47.6
1202,2021-08-14,6,21,49,65,67,18,2,274000000,1,0,41.6
1201,2021-08-11,12,18,20,29,30,16,3,258000000,1,0,21.8
1200,2021-08-07,7,24,36,54,60,23,2,241000000,1,1,36.2
1199,2021-08-04,5,21,32,36,58,14,2,226000000,1,1,30.4
1198,2021-07-31,1,21,22,34,47,4,2,211000000,1,0,25.0
1197,2021-07-28,25,30,53,59,60,5,3,199000000,2,1,45.4
1196,2021-07-24,1,4,11,59,67,10,2,186000000,3,1,28.4
1195,2021-07-21,27,28,44,67,68,11,2,174000000,1,0,46.8
1194,2021-07-17,15,22,38,54,66,3,2,161000000,0,0,39.0
1193,2021-07-14,33,46,52,59,62,10,2,150000000,1,1,50.4
1192,2021-07-10,1,5,29,54,62,3,2,137000000,2,0,30.2
1191,2021-07-07,8,21,30,49,57,8,2,127000000,0,0,33.0
1190,2021-07-03,26,40,41,55,65,24,2,113000000,1,1,45.4
1189,2021-06-30,24,29,50,65,66,14,4,101000000,1,0,46.8
1188,2021-06-26,8,31,39,43,60,17,3,88000000,2,0,36.2
1187,2021-06-23,13,20,40,51,63,1,3,75000000,1,0,37.4
1186,2021-06-19,4,22,35,38,39,20,2,63000000,0,0,27.6
1185,2021-06-16,19,29,34,44,50,25,2,52000000,2,1,35.2
1184,2021-06-12,8,25,34,38,41,10,3,40000000,1,0,29.2
1183,2021-06-09,19,28,46,50,54,9,2,31000000,1,1,39.4
1182,2021-06-05,44,52,54,64,69,26,3,20000000,0,0,56.6
1181,2021-06-02,6,7,11,66,67,19,3,286000000,3,1,31.4
1180,2021-05-29,11,13,22,27,46,20,2,268000000,2,0,23.8
1179,2021-05-26,2,8,21,34,62,16,2,253000000,1,0,25.4
1178,2021-05-22,3,19,27,37,40,8,2,236000000,3,0,25.2
1177,2021-05-19,11,13,55,56,69,4,2,218000000,2,1,40.8
1176,2021-05-15,4,10,37,39,69,24,3,201000000,1,0,31.8
1175,2021-05-12,1,19,20,38,54,17,2,183000000,1,1,26.4
1174,2021-05-08,12,17,20,21,26,8,3,168000000,1,0,19.2
1173,2021-05-05,16,23,28,40,63,1,2,157000000,1,1,34.0
1172,2021-05-01,35,36,47,61,63,3,3,142000000,2,1,48.4
1171,2021-04-28,16,18,35,39,53,21,3,129000000,1,0,32.2
1170,2021-04-24,22,36,48,59,61,22,3,116000000,2,0,45.2
1169,2021-04-21,21,25,32,63,67,6,2,104000000,1,1,41.6
1168,2021-04-17,10,21,26,41,49,25,2,90000000,1,0,29.4
1167,2021-04-14,13,30,33,45,61,14,2,79000000,2,0,36.4
1166,2021-04-10,14,16,23,50,53,3,3,67000000,2,0,31.2
1165,2021-04-07,27,35,39,51,66,16,5,55000000,0,1,43.6
1164,2021-04-03,1,12,17,39,53,5,2,43000000,2,0,24.4
1163,2021-03-31,3,10,44,55,68,24,2,32000000,1,0,36.0
1162,2021-03-27,6,14,38,39,65,6,3,20000000,0,1,32.4
1161,2021-03-24,4,9,17,27,38,18,2,238000000,1,0,19.0
1160,2021-03-20,1,6,22,42,61,4,3,220000000,1,2,26.4
1159,2021-03-17,34,38,42,61,62,19,2,200000000,1,1,47.4
1158,2021-03-13,5,11,51,56,61,2,2,184000000,3,0,36.8
1157,2021-03-10,17,18,37,44,53,18,3,169000000,3,0,33.8
1156,2021-03-06,11,31,50,52,58,18,4,155000000,2,1,40.4
1155,2021-03-03,21,40,44,50,55,16,3,138000000,0,1,42.0
1154,2021-02-27,2,28,31,44,52,18,3,123000000,2,0,31.4
1153,2021-02-24,4,33,43,53,65,21,3,106000000,2,1,39.6
1152,2021-02-20,4,8,22,32,58,4,10,90000000,0,1,24.8
1151,2021-02-17,1,15,21,32,46,1,3,78000000,0,0,23.0
1150,2021-02-13,20,28,33,63,68,20,2,66000000,0,1,42.4
1149,2021-02-10,15,39,58,63,67,7,2,56000000,1,0,48.4
1148,2021-02-06,1,16,48,49,65,8,2,42000000,0,0,35.8
1147,2021-02-03,5,37,40,64,66,5,3,30000000,2,0,42.4
1146,2021-01-30,1,2,7,52,61,4,3,20000000,3,1,24.6
1145,2021-01-27,17,33,35,42,52,9,3,30000000,1,1,35.8
1144,2021-01-23,5,8,17,27,28,14,3,20000000,2,0,17.0
1143,2021-01-20,40,53,60,68,69,22,3,20000000,1,0,58.0
1142,2021-01-16,14,20,39,65,67,2,3,730000000,1,0,41.0
1141,2021-01-13,4,19,23,25,49,14,2,640000000,2,0,24.0
1140,2021-01-09,14,26,38,45,46,13,2,550000000,0,0,33.8
1139,2021-01-06,1,20,22,60,66,3,3,1,0,0,33.8
1138,2021-01-02,3,4,11,41,67,5,2,1,4,1,25.2
1137,2020-12-30,3,43,45,61,65,14,2,1,3,0,43.4
1136,2020-12-26,10,24,27,35,53,18,2,1,1,1,29.8
1135,2020-12-23,6,13,38,39,53,6,3,1,2,0,29.8
1134,2020-12-19,27,32,34,43,52,13,2,1,1,0,37.6
1133,2020-12-16,4,23,37,61,67,7,2,1,4,0,38.4
1132,2020-12-12,17,54,56,63,69,20,2,1,1,0,51.8
1131,2020-12-09,11,14,31,47,48,4,3,1,3,1,30.2
1130,2020-12-05,3,4,6,48,53,10,2,1,2,0,22.8
1129,2020-12-02,28,31,40,41,46,4,3,1,2,0,37.2
