CONCURSO,R1,R2,R3,R4,R5,FECHA
39679,6,2,2,2,6,2016-06-09
39678,7,0,3,5,5,2016-06-09
39677,5,4,8,7,3,2016-06-09
39676,8,5,4,7,3,2016-06-10
39675,7,7,2,1,6,2016-06-10
39674,1,6,6,2,2,2016-06-10
39673,4,2,3,0,4,2016-06-11
39672,2,9,6,1,0,2016-06-11
39671,5,2,4,7,0,2016-06-11
39670,3,7,6,1,9,2016-06-12
39669,4,2,4,6,6,2016-06-12
39668,5,4,5,7,5,2016-06-12
39667,8,1,7,8,7,2016-06-13
39666,4,4,0,3,3,2016-06-13
39665,0,2,0,8,1,2016-06-13
39664,3,1,5,1,7,2016-06-14
39663,5,6,6,2,2,2016-06-14
39662,8,5,0,2,9,2016-06-14
39661,7,5,4,5,3,2016-06-15
39660,4,7,6,1,3,2016-06-15
39659,2,9,6,0,4,2016-06-15
39658,7,8,7,8,4,2016-06-16
39657,3,3,9,1,0,2016-06-16
39656,4,5,8,1,4,2016-06-16
39655,0,2,0,6,3,2016-06-17
39654,0,0,2,0,1,2016-06-17
39653,3,4,1,4,6,2016-06-17
39652,7,9,4,3,8,2016-06-18
39651,4,7,3,6,5,2016-06-18
39650,2,1,7,4,7,2016-06-18
39649,8,1,9,2,1,2016-06-19
39648,1,0,0,2,0,2016-06-19
39647,6,5,4,4,1,2016-06-19
39646,6,7,7,1,4,2016-06-20
39645,7,6,1,3,8,2016-06-20
39644,0,6,7,2,2,2016-06-20
39643,4,0,4,6,9,2016-06-21
39642,0,6,0,8,2,2016-06-21
39641,4,3,6,3,4,2016-06-21
39640,7,5,5,5,3,2016-06-22
39639,0,2,5,1,3,2016-06-22
39638,4,4,8,3,4,2016-06-22
39637,3,1,8,1,9,2016-06-23
39636,6,6,0,3,2,2016-06-23
39635,7,3,9,0,8,2016-06-23
39634,4,0,8,1,8,2016-06-24
39633,2,0,7,5,6,2016-06-24
39632,4,9,6,6,5,2016-06-24
39631,4,5,8,9,4,2016-06-25
39630,8,0,1,0,2,2016-06-25
39629,5,9,1,3,6,2016-06-25
39628,2,0,3,0,3,2016-06-26
39627,9,3,9,9,6,2016-06-26
39626,7,2,4,2,5,2016-06-26
39625,0,8,3,7,0,2016-06-27
39624,0,3,7,0,3,2016-06-27
39623,1,9,7,1,6,2016-06-27
39622,1,5,9,7,3,2016-06-28
39621,4,2,9,0,8,2016-06-28
39620,5,5,9,2,8,2016-06-28
39619,4,8,3,4,1,2016-06-29
39618,6,4,4,0,6,2016-06-29
39617,4,6,6,6,2,2016-06-29
39616,7,1,3,4,1,2016-06-30
39615,9,8,8,0,5,2016-06-30
39614,8,2,4,5,3,2016-06-30
39613,0,7,6,0,8,2016-07-01
39612,0,2,0,4,7,2016-07-01
39611,0,1,1,4,8,2016-07-01
39610,1,1,7,5,3,2016-07-02
39609,5,8,7,7,4,2016-07-02
39608,5,9,1,3,4,2016-07-02
39607,4,9,4,0,1,2016-07-03
39606,2,8,4,3,9,2016-07-03
39605,9,3,6,9,2,2016-07-03
39604,8,4,1,2,8,2016-07-04
39603,6,0,7,4,4,2016-07-04
39602,3,9,4,7,4,2016-07-04
39601,8,3,0,6,4,2016-07-05
39600,1,9,6,7,1,2016-07-05
39599,4,7,1,6,9,2016-07-05
39598,3,9,3,3,2,2016-07-06
39597,0,3,5,5,4,2016-07-06
39596,6,6,0,7,9,2016-07-06
39595,1,1,4,0,3,2016-07-07
39594,9,4,1,2,1,2016-07-07
39593,4,3,8,5,6,2016-07-07
39592,9,1,1,6,7,2016-07-08
39591,7,9,9,7,2,2016-07-08
39590,8,5,4,5,6,2016-07-08
39589,8,0,7,0,0,2016-07-09
39588,2,1,2,8,9,2016-07-09
39587,3,4,4,8,2,2016-07-09
39586,1,4,7,6,1,2016-07-10
39585,0,9,6,9,7,2016-07-10
39584,8,5,5,9,0,2016-07-10
39583,0,5,9,5,3,2016-07-11
39582,6,4,8,2,8,2016-07-11
39581,9,7,6,5,0,2016-07-11
39580,7,5,7,3,3,2016-07-12
39579,5,8,2,3,3,2016-07-12
39578,1,6,3,2,7,2016-07-12
39577,1,0,6,1,5,2016-07-13
39576,6,4,3,0,7,2016-07-13
39575,4,0,8,6,1,2016-07-13
39574,0,9,9,4,0,2016-07-14
39573,9,2,8,9,7,2016-07-14
39572,7,7,2,6,1,2016-07-14
39571,3,6,9,4,6,2016-07-15
39570,5,5,0,8,0,2016-07-15
39569,6,9,1,1,0,2016-07-15
39568,3,8,8,3,6,2016-07-16
39567,3,4,9,4,9,2016-07-16
39566,8,4,0,1,8,2016-07-16
39565,5,2,0,7,8,2016-07-17
39564,1,6,4,1,5,2016-07-17
39563,9,3,8,0,3,2016-07-17
39562,5,0,1,8,6,2016-07-18
39561,5,7,3,3,6,2016-07-18
39560,3,4,3,3,5,2016-07-18
39559,9,0,8,6,4,2016-07-19
39558,8,4,1,4,6,2016-07-19
39557,7,4,1,2,9,2016-07-19
39556,4,5,2,4,0,2016-07-20
39555,8,5,9,3,6,2016-07-20
39554,5,8,6,6,8,2016-07-20
39553,8,6,0,8,7,2016-07-21
39552,4,9,8,4,3,2016-07-21
39551,9,6,9,7,3,2016-07-21
39550,7,3,2,1,7,2016-07-22
39549,3,0,6,1,3,2016-07-22
39548,3,0,7,9,0,2016-07-22
39547,5,9,7,4,5,2016-07-23
39546,0,0,6,3,7,2016-07-23
39545,3,6,7,8,0,2016-07-23
39544,8,8,2,3,1,2016-07-24
39543,6,0,2,3,1,2016-07-24
39542,6,8,0,7,1,2016-07-24
39541,5,2,1,0,8,2016-07-25
39540,4,3,2,2,0,2016-07-25
39539,6,6,3,3,5,2016-07-25
39538,9,7,2,2,5,2016-07-26
39537,8,1,6,8,6,2016-07-26
39536,4,9,9,7,3,2016-07-26
39535,4,9,4,9,4,2016-07-27
39534,6,6,1,8,9,2016-07-27
39533,4,1,7,5,1,2016-07-27
39532,2,1,8,1,5,2016-07-28
39531,1,0,4,9,2,2016-07-28
39530,9,9,4,2,9,2016-07-28
39529,2,6,9,1,7,2016-07-29
39528,6,1,0,9,9,2016-07-29
39527,0,3,7,6,2,2016-07-29
39526,9,0,7,4,3,2016-07-30
39525,3,8,4,0,7,2016-07-30
39524,0,7,2,1,6,2016-07-30
39523,6,7,3,6,0,2016-07-31
39522,0,4,1,0,8,2016-07-31
39521,0,3,8,2,0,2016-07-31
39520,7,6,1,3,4,2016-08-01
39519,5,7,9,4,8,2016-08-01
39518,9,0,4,0,7,2016-08-01
39517,1,1,6,4,5,2016-08-02
39516,2,5,0,4,2,2016-08-02
39515,8,0,9,3,2,2016-08-02
39514,0,8,7,8,2,2016-08-03
39513,8,8,7,8,4,2016-08-03
39512,2,5,0,2,4,2016-08-03
39511,9,8,1,2,5,2016-08-04
39510,6,3,8,9,0,2016-08-04
39509,9,6,2,5,2,2016-08-04
39508,7,9,3,7,9,2016-08-05
39507,0,5,0,1,5,2016-08-05
39506,0,2,2,2,8,2016-08-05
39505,1,6,7,3,2,2016-08-06
39504,0,0,5,5,6,2016-08-06
39503,8,3,2,2,4,2016-08-06
39502,2,9,2,9,5,2016-08-07
39501,5,2,2,5,0,2016-08-07
39500,9,4,2,4,9,2016-08-07
39499,5,6,5,4,4,2016-08-08
39498,4,1,8,1,8,2016-08-08
39497,7,2,0,9,1,2016-08-08
39496,3,8,3,8,9,2016-08-09
39495,0,3,1,5,6,2016-08-09
39494,0,5,5,5,1,2016-08-09
39493,8,5,2,2,4,2016-08-10
39492,1,3,3,1,3,2016-08-10
39491,4,8,5,9,7,2016-08-10
39490,6,2,4,9,4,2016-08-11
39489,9,3,7,3,5,2016-08-11
39488,2,5,6,4,9,2016-08-11
39487,0,2,9,8,6,2016-08-12
39486,6,6,7,9,5,2016-08-12
39485,8,3,9,7,8,2016-08-12
39484,8,0,3,1,1,2016-08-13
39483,4,9,5,1,2,2016-08-13
39482,2,0,7,4,0,2016-08-13
39481,2,2,0,9,0,2016-08-14
39480,3,9,8,5,9,2016-08-14
39479,4,0,9,9,5,2016-08-14
39478,9,9,0,1,2,2016-08-15
39477,8,2,7,9,8,2016-08-15
39476,1,0,0,5,6,2016-08-15
39475,7,4,2,7,7,2016-08-16
39474,9,4,9,6,7,2016-08-16
39473,1,6,5,3,5,2016-08-16
39472,0,3,4,3,3,2016-08-17
39471,9,0,3,9,7,2016-08-17
39470,7,8,2,9,3,2016-08-17
39469,4,7,1,1,8,2016-08-18
39468,0,5,3,7,9,2016-08-18
39467,0,1,7,6,2,2016-08-18
39466,6,9,2,2,3,2016-08-19
39465,9,7,1,6,6,2016-08-19
39464,6,9,8,4,8,2016-08-19
39463,0,3,7,0,2,2016-08-20
39462,8,8,5,9,7,2016-08-20
39461,6,6,4,0,2,2016-08-20
39460,4,3,6,3,8,2016-08-21
39459,6,6,9,5,2,2016-08-21
39458,0,3,2,3,0,2016-08-21
39457,6,6,3,6,2,2016-08-22
39456,9,8,1,4,3,2016-08-22
39455,1,0,4,3,5,2016-08-22
39454,3,4,7,3,9,2016-08-23
39453,7,6,5,8,7,2016-08-23
39452,8,2,7,6,3,2016-08-23
39451,5,6,0,3,4,2016-08-24
39450,8,6,4,0,8,2016-08-24
39449,0,4,1,5,1,2016-08-24
39448,3,8,3,7,3,2016-08-25
39447,1,7,6,1,5,2016-08-25
39446,8,4,2,9,9,2016-08-25
39445,8,4,2,6,4,2016-08-26
39444,6,9,4,4,4,2016-08-26
39443,2,2,1,0,6,2016-08-26
39442,1,2,4,2,0,2016-08-27
39441,5,9,7,2,4,2016-08-27
39440,0,6,2,7,2,2016-08-27
39439,2,7,7,2,5,2016-08-28
39438,2,9,5,6,3,2016-08-28
39437,9,4,6,4,5,2016-08-28
39436,3,5,0,1,8,2016-08-29
39435,8,2,5,8,5,2016-08-29
39434,6,9,0,7,2,2016-08-29
39433,6,0,3,3,3,2016-08-30
39432,8,9,0,6,2,2016-08-30
39431,1,4,5,6,8,2016-08-30
39430,3,7,2,1,7,2016-08-31
39429,4,5,3,9,4,2016-08-31
39428,6,5,9,7,2,2016-08-31
39427,1,7,5,9,7,2016-09-01
39426,9,8,3,6,3,2016-09-01
39425,9,0,8,2,4,2016-09-01
39424,3,8,8,7,7,2016-09-02
39423,6,5,8,0,4,2016-09-02
39422,6,5,5,2,3,2016-09-02
39421,5,3,8,9,7,2016-09-03
39420,5,2,3,3,2,2016-09-03
39419,3,2,2,3,4,2016-09-03
39418,0,5,7,3,8,2016-09-04
39417,4,3,2,6,2,2016-09-04
39416,0,9,4,3,7,2016-09-04
39415,4,4,0,8,0,2016-09-05
39414,1,6,6,0,0,2016-09-05
39413,9,8,7,5,7,2016-09-05
39412,6,5,7,3,1,2016-09-06
39411,4,5,7,9,3,2016-09-06
39410,5,2,6,3,3,2016-09-06
39409,3,5,6,4,5,2016-09-07
39408,0,8,0,3,7,2016-09-07
39407,7,2,2,4,9,2016-09-07
39406,7,5,1,7,6,2016-09-08
39405,2,4,7,1,1,2016-09-08
39404,6,6,1,0,3,2016-09-08
39403,5,6,5,1,3,2016-09-09
39402,2,9,4,0,6,2016-09-09
39401,1,7,8,4,5,2016-09-09
39400,5,5,5,1,6,2016-09-10
39399,2,5,2,7,6,2016-09-10
39398,1,4,4,6,0,2016-09-10
39397,2,9,4,9,6,2016-09-11
39396,9,8,3,4,7,2016-09-11
39395,8,1,3,3,5,2016-09-11
39394,2,3,7,7,5,2016-09-12
39393,1,9,3,0,4,2016-09-12
39392,5,1,9,2,1,2016-09-12
39391,9,6,3,0,2,2016-09-13
39390,6,0,7,5,8,2016-09-13
39389,3,6,7,9,9,2016-09-13
39388,0,4,0,6,2,2016-09-14
39387,3,4,7,7,8,2016-09-14
39386,4,4,1,5,7,2016-09-14
39385,2,1,9,2,8,2016-09-15
39384,6,6,3,3,3,2016-09-15
39383,0,5,9,2,5,2016-09-15
39382,1,9,0,0,8,2016-09-16
39381,3,5,3,7,7,2016-09-16
39380,4,1,7,9,6,2016-09-16
39379,6,4,1,5,3,2016-09-17
39378,2,7,2,4,1,2016-09-17
39377,8,2,7,5,9,2016-09-17
39376,5,6,3,8,0,2016-09-18
39375,5,6,8,8,3,2016-09-18
39374,9,0,6,3,7,2016-09-18
39373,5,3,7,7,7,2016-09-19
39372,5,9,6,0,8,2016-09-19
39371,7,0,3,9,3,2016-09-19
39370,4,0,2,9,3,2016-09-20
39369,8,1,6,8,2,2016-09-20
39368,9,6,0,8,3,2016-09-20
39367,0,9,1,8,2,2016-09-21
39366,3,7,1,9,3,2016-09-21
39365,4,6,0,9,3,2016-09-21
39364,9,3,7,4,4,2016-09-22
39363,5,8,5,1,4,2016-09-22
39362,1,9,7,1,5,2016-09-22
39361,5,6,7,7,8,2016-09-23
39360,7,9,2,9,7,2016-09-23
39359,7,9,7,5,6,2016-09-23
39358,0,9,8,7,3,2016-09-24
39357,9,3,6,3,6,2016-09-24
39356,9,7,1,0,9,2016-09-24
39355,7,5,3,9,9,2016-09-25
39354,5,7,3,2,4,2016-09-25
39353,0,5,3,4,9,2016-09-25
39352,0,2,0,0,3,2016-09-26
39351,8,8,6,1,7,2016-09-26
39350,7,7,9,6,6,2016-09-26
39349,3,9,2,9,4,2016-09-27
39348,9,2,4,5,3,2016-09-27
39347,3,7,0,7,4,2016-09-27
39346,2,6,1,7,4,2016-09-28
39345,9,7,0,4,6,2016-09-28
39344,6,0,4,3,8,2016-09-28
39343,4,7,0,7,7,2016-09-29
39342,7,7,8,8,8,2016-09-29
39341,1,7,6,2,8,2016-09-29
39340,5,2,4,9,0,2016-09-30
39339,1,6,8,7,7,2016-09-30
39338,6,2,6,6,4,2016-09-30
39337,4,0,6,2,8,2016-10-01
39336,9,6,6,3,1,2016-10-01
39335,1,1,0,1,1,2016-10-01
39334,6,7,2,1,0,2016-10-02
39333,9,9,3,7,8,2016-10-02
39332,7,7,4,3,1,2016-10-02
39331,5,7,8,8,0,2016-10-03
39330,6,9,6,6,8,2016-10-03
39329,5,9,8,5,8,2016-10-03
39328,4,3,9,9,8,2016-10-04
39327,3,9,2,0,6,2016-10-04
39326,0,6,2,5,2,2016-10-04
39325,0,2,9,3,4,2016-10-05
39324,8,4,3,6,0,2016-10-05
39323,3,2,6,8,0,2016-10-05
39322,0,2,5,8,6,2016-10-06
39321,7,9,6,5,5,2016-10-06
39320,3,0,8,5,8,2016-10-06
39319,7,6,9,4,9,2016-10-07
39318,4,0,8,1,6,2016-10-07
39317,4,4,8,6,8,2016-10-07
39316,1,6,5,5,1,2016-10-08
39315,8,1,7,4,1,2016-10-08
39314,7,4,0,3,5,2016-10-08
39313,9,7,8,1,4,2016-10-09
39312,7,3,8,9,1,2016-10-09
39311,9,1,0,8,4,2016-10-09
39310,7,4,7,5,5,2016-10-10
39309,5,5,7,5,1,2016-10-10
39308,6,6,3,5,5,2016-10-10
39307,0,7,5,3,2,2016-10-11
39306,5,7,5,1,2,2016-10-11
39305,5,5,3,0,8,2016-10-11
39304,5,3,4,3,0,2016-10-12
39303,2,5,8,6,1,2016-10-12
39302,1,4,3,8,0,2016-10-12
39301,5,4,7,0,2,2016-10-13
39300,7,6,2,9,6,2016-10-13
39299,9,4,9,5,2,2016-10-13
39298,1,6,0,0,7,2016-10-14
39297,8,0,6,9,3,2016-10-14
39296,8,9,4,1,8,2016-10-14
39295,1,6,2,3,0,2016-10-15
39294,3,9,8,1,8,2016-10-15
39293,6,8,2,5,7,2016-10-15
39292,3,8,4,9,6,2016-10-16
39291,4,7,2,9,8,2016-10-16
39290,7,4,6,7,8,2016-10-16
39289,8,4,2,9,7,2016-10-17
39288,0,3,1,5,1,2016-10-17
39287,6,5,0,4,0,2016-10-17
39286,5,3,9,4,9,2016-10-18
39285,5,2,6,4,9,2016-10-18
39284,2,3,0,3,2,2016-10-18
39283,1,0,7,0,4,2016-10-19
39282,6,8,7,1,3,2016-10-19
39281,6,9,7,9,1,2016-10-19
39280,9,1,4,0,2,2016-10-20
39279,2,2,2,0,3,2016-10-20
39278,1,6,8,5,8,2016-10-20
39277,6,0,3,7,5,2016-10-21
39276,2,5,4,5,2,2016-10-21
39275,9,1,9,5,8,2016-10-21
39274,0,7,3,8,7,2016-10-22
39273,2,1,0,1,4,2016-10-22
39272,2,6,8,5,8,2016-10-22
39271,3,6,7,2,8,2016-10-23
39270,6,4,4,3,7,2016-10-23
39269,3,4,6,8,0,2016-10-23
39268,2,7,5,9,8,2016-10-24
39267,3,3,7,7,1,2016-10-24
39266,1,2,3,4,5,2016-10-24
39265,2,6,0,9,1,2016-10-25
39264,9,4,6,0,0,2016-10-25
39263,6,7,6,0,5,2016-10-25
39262,2,3,0,3,1,2016-10-26
39261,0,6,1,5,2,2016-10-26
39260,4,8,3,7,1,2016-10-26
39259,3,7,8,1,2,2016-10-27
39258,4,5,6,3,7,2016-10-27
39257,4,0,2,8,5,2016-10-27
39256,8,0,3,2,7,2016-10-28
39255,9,3,2,3,6,2016-10-28
39254,3,1,9,0,2,2016-10-28
39253,2,1,9,8,0,2016-10-29
39252,5,9,0,9,7,2016-10-29
39251,6,3,3,4,0,2016-10-29
39250,9,2,8,4,7,2016-10-30
39249,4,2,3,8,4,2016-10-30
39248,1,3,2,8,3,2016-10-30
39247,3,7,9,2,5,2016-10-31
39246,6,1,6,5,8,2016-10-31
39245,9,7,0,6,0,2016-10-31
39244,3,0,2,6,7,2016-11-01
39243,1,6,1,6,1,2016-11-01
39242,2,4,5,7,4,2016-11-01
39241,5,9,7,4,6,2016-11-02
39240,5,3,2,4,4,2016-11-02
39239,8,6,8,3,7,2016-11-02
39238,6,5,3,1,5,2016-11-03
39237,0,4,5,5,0,2016-11-03
39236,8,3,4,1,8,2016-11-03
39235,3,2,1,5,0,2016-11-04
39234,7,9,1,0,5,2016-11-04
39233,5,9,3,3,9,2016-11-04
39232,7,9,6,6,9,2016-11-05
39231,1,0,4,6,1,2016-11-05
39230,4,6,0,4,4,2016-11-05
39229,4,8,6,6,2,2016-11-06
39228,6,6,6,9,7,2016-11-06
39227,0,9,4,0,9,2016-11-06
39226,8,4,3,0,9,2016-11-07
39225,2,9,6,6,9,2016-11-07
39224,9,4,2,2,6,2016-11-07
39223,3,7,1,5,8,2016-11-08
39222,9,9,7,8,5,2016-11-08
39221,0,7,5,3,9,2016-11-08
39220,7,1,3,0,7,2016-11-09
39219,9,9,2,7,5,2016-11-09
39218,9,3,7,2,8,2016-11-09
39217,6,0,7,9,9,2016-11-10
39216,1,4,9,9,6,2016-11-10
39215,8,9,2,8,7,2016-11-10
39214,9,1,4,0,8,2016-11-11
39213,4,0,4,6,1,2016-11-11
39212,3,2,9,6,8,2016-11-11
39211,1,7,1,3,5,2016-11-12
39210,6,5,8,9,0,2016-11-12
39209,7,7,0,6,1,2016-11-12
39208,1,2,6,8,8,2016-11-13
39207,4,6,2,2,3,2016-11-13
39206,7,7,7,8,9,2016-11-13
39205,7,6,7,3,8,2016-11-14
39204,2,9,7,6,4,2016-11-14
39203,0,3,1,7,3,2016-11-14
39202,7,1,2,5,1,2016-11-15
39201,6,3,0,9,4,2016-11-15
39200,0,4,1,9,7,2016-11-15
39199,2,2,9,2,1,2016-11-16
39198,4,7,7,4,0,2016-11-16
39197,3,3,4,3,5,2016-11-16
39196,4,0,7,9,5,2016-11-17
39195,3,6,6,8,8,2016-11-17
39194,4,7,7,9,3,2016-11-17
39193,5,4,0,0,4,2016-11-18
39192,2,6,9,4,5,2016-11-18
39191,4,2,9,0,3,2016-11-18
39190,5,8,8,3,1,2016-11-19
39189,5,6,3,0,0,2016-11-19
39188,6,3,8,7,7,2016-11-19
39187,8,0,1,5,4,2016-11-20
39186,6,6,9,2,5,2016-11-20
39185,7,7,4,5,9,2016-11-20
39184,8,2,4,8,3,2016-11-21
39183,3,9,8,9,8,2016-11-21
39182,2,6,4,2,4,2016-11-21
39181,2,9,7,4,6,2016-11-22
39180,7,3,8,0,1,2016-11-22
39179,6,2,6,1,8,2016-11-22
39178,8,8,9,6,9,2016-11-23
39177,5,3,8,8,4,2016-11-23
39176,5,1,2,5,5,2016-11-23
39175,1,2,5,5,5,2016-11-24
39174,1,1,2,7,2,2016-11-24
39173,7,2,9,8,2,2016-11-24
39172,3,1,6,8,4,2016-11-25
39171,4,8,0,5,6,2016-11-25
39170,6,2,8,8,1,2016-11-25
39169,1,3,6,8,8,2016-11-26
39168,3,4,0,5,5,2016-11-26
39167,1,1,5,5,4,2016-11-26
39166,0,8,1,8,4,2016-11-27
39165,4,6,3,7,0,2016-11-27
39164,8,9,9,3,5,2016-11-27
39163,4,0,7,8,1,2016-11-28
39162,0,3,1,9,8,2016-11-28
39161,7,2,3,7,4,2016-11-28
39160,3,6,7,3,5,2016-11-29
39159,6,3,3,4,2,2016-11-29
39158,2,2,2,7,6,2016-11-29
39157,3,0,0,6,0,2016-11-30
39156,5,5,7,1,1,2016-11-30
39155,6,3,4,5,4,2016-11-30
39154,8,3,1,3,7,2016-12-01
39153,8,3,6,7,2,2016-12-01
39152,6,3,8,8,0,2016-12-01
39151,8,0,5,3,0,2016-12-02
39150,4,4,2,4,4,2016-12-02
39149,7,8,0,9,6,2016-12-02
39148,8,0,9,6,2,2016-12-03
39147,6,9,4,2,5,2016-12-03
39146,8,2,3,7,8,2016-12-03
39145,8,1,6,2,6,2016-12-04
39144,2,4,1,7,9,2016-12-04
39143,0,9,2,7,2,2016-12-04
39142,1,1,4,7,9,2016-12-05
39141,1,6,2,7,2,2016-12-05
39140,5,8,6,7,3,2016-12-05
39139,4,8,8,1,2,2016-12-06
39138,0,1,1,4,1,2016-12-06
39137,7,4,9,4,6,2016-12-06
39136,7,2,7,4,1,2016-12-07
39135,6,4,4,7,9,2016-12-07
39134,2,9,7,7,7,2016-12-07
39133,7,3,1,4,4,2016-12-08
39132,3,9,5,2,0,2016-12-08
39131,5,9,1,6,8,2016-12-08
39130,5,2,4,9,7,2016-12-09
39129,4,6,9,3,2,2016-12-09
39128,9,6,4,0,0,2016-12-09
39127,6,7,9,7,8,2016-12-10
39126,8,3,6,9,6,2016-12-10
39125,3,3,9,2,5,2016-12-10
39124,5,8,5,8,3,2016-12-11
39123,3,1,6,7,5,2016-12-11
39122,3,6,9,5,7,2016-12-11
39121,2,6,1,6,9,2016-12-12
39120,8,4,7,9,7,2016-12-12
39119,1,8,9,3,2,2016-12-12
39118,0,3,7,6,9,2016-12-13
39117,3,1,8,7,2,2016-12-13
39116,3,0,8,0,0,2016-12-13
39115,2,1,4,1,2,2016-12-14
39114,6,4,5,6,4,2016-12-14
39113,4,5,3,7,8,2016-12-14
39112,3,2,7,3,3,2016-12-15
39111,6,5,4,1,7,2016-12-15
39110,5,3,6,7,4,2016-12-15
39109,8,7,0,6,0,2016-12-16
39108,1,9,1,0,4,2016-12-16
39107,1,8,8,9,4,2016-12-16
39106,4,7,7,6,4,2016-12-17
39105,4,2,1,7,5,2016-12-17
39104,4,9,3,1,6,2016-12-17
39103,3,5,4,5,1,2016-12-18
39102,4,4,8,7,3,2016-12-18
39101,5,9,9,2,1,2016-12-18
39100,9,8,2,2,5,2016-12-19
39099,3,3,7,0,3,2016-12-19
39098,5,7,7,9,2,2016-12-19
39097,5,2,4,0,3,2016-12-20
39096,3,6,1,6,5,2016-12-20
39095,1,9,2,6,4,2016-12-20
39094,3,7,1,3,7,2016-12-21
39093,8,2,2,4,6,2016-12-21
39092,3,9,3,9,3,2016-12-21
39091,8,3,6,2,8,2016-12-22
39090,8,6,1,8,1,2016-12-22
39089,0,2,4,3,8,2016-12-22
39088,6,4,2,9,5,2016-12-23
39087,9,9,5,5,7,2016-12-23
39086,8,0,0,1,5,2016-12-23
39085,5,6,2,8,2,2016-12-24
39084,9,1,5,7,5,2016-12-24
39083,4,2,7,8,9,2016-12-24
39082,9,1,4,0,0,2016-12-25
39081,6,8,9,6,3,2016-12-25
39080,3,0,8,3,4,2016-12-25
39079,2,5,3,2,2,2016-12-26
39078,8,3,9,2,7,2016-12-26
39077,3,9,8,8,2,2016-12-26
39076,9,1,1,3,0,2016-12-27
39075,2,7,4,9,7,2016-12-27
39074,3,2,2,1,0,2016-12-27
39073,7,6,8,3,4,2016-12-28
39072,0,8,5,0,3,2016-12-28
39071,7,1,1,2,1,2016-12-28
39070,6,6,5,8,5,2016-12-29
39069,3,7,6,3,9,2016-12-29
39068,2,0,0,1,9,2016-12-29
39067,3,3,4,4,1,2016-12-30
39066,8,5,7,5,4,2016-12-30
39065,0,0,4,7,4,2016-12-30
39064,3,8,0,7,8,2016-12-31
39063,0,4,3,2,8,2016-12-31
39062,3,4,5,7,8,2016-12-31
39061,9,1,9,0,5,2017-01-01
39060,4,7,3,0,1,2017-01-01
39059,8,8,7,2,2,2017-01-01
39058,1,6,8,1,8,2017-01-02
39057,6,9,3,9,9,2017-01-02
39056,7,5,0,7,3,2017-01-02
39055,6,9,4,3,1,2017-01-03
39054,5,9,4,5,9,2017-01-03
39053,1,4,1,0,7,2017-01-03
39052,9,5,6,7,4,2017-01-04
39051,2,7,0,5,2,2017-01-04
39050,4,4,7,5,2,2017-01-04
39049,3,7,9,3,5,2017-01-05
39048,6,9,1,4,9,2017-01-05
39047,7,7,5,9,0,2017-01-05
39046,2,8,0,6,2,2017-01-06
39045,6,1,2,8,8,2017-01-06
39044,4,1,2,9,4,2017-01-06
39043,6,4,2,1,9,2017-01-07
39042,7,8,6,6,2,2017-01-07
39041,3,4,3,3,8,2017-01-07
39040,8,8,5,4,3,2017-01-08
39039,3,4,5,3,6,2017-01-08
39038,7,5,3,1,4,2017-01-08
39037,6,5,3,6,6,2017-01-09
39036,7,7,4,3,8,2017-01-09
39035,2,8,6,7,7,2017-01-09
39034,2,5,9,6,4,2017-01-10
39033,8,6,2,5,5,2017-01-10
39032,0,5,3,6,3,2017-01-10
39031,7,0,0,8,5,2017-01-11
39030,7,4,6,1,2,2017-01-11
39029,9,0,1,2,2,2017-01-11
39028,7,4,5,7,6,2017-01-12
39027,5,3,6,0,2,2017-01-12
39026,0,3,1,4,5,2017-01-12
39025,2,3,9,9,5,2017-01-13
39024,7,2,9,5,6,2017-01-13
39023,7,4,1,0,3,2017-01-13
39022,5,3,1,5,0,2017-01-14
39021,8,6,9,0,6,2017-01-14
39020,6,0,8,5,1,2017-01-14
39019,4,2,5,6,0,2017-01-15
39018,7,3,5,1,0,2017-01-15
39017,6,9,1,2,4,2017-01-15
39016,8,6,1,1,7,2017-01-16
39015,9,2,2,4,1,2017-01-16
39014,8,8,2,7,1,2017-01-16
39013,5,5,4,6,4,2017-01-17
39012,0,3,6,5,7,2017-01-17
39011,6,8,2,2,7,2017-01-17
39010,8,6,6,5,1,2017-01-18
39009,1,3,8,6,8,2017-01-18
39008,0,5,6,1,6,2017-01-18
39007,0,3,5,0,6,2017-01-19
39006,6,0,3,2,7,2017-01-19
39005,0,5,6,0,0,2017-01-19
39004,2,3,4,1,1,2017-01-20
39003,0,2,1,4,4,2017-01-20
39002,8,1,0,7,3,2017-01-20
39001,6,0,5,9,0,2017-01-21
39000,0,8,5,2,6,2017-01-21
38999,4,0,4,6,3,2017-01-21
38998,0,1,8,0,0,2017-01-22
38997,7,5,9,2,0,2017-01-22
38996,2,0,9,2,2,2017-01-22
38995,2,2,0,4,7,2017-01-23
38994,9,8,3,6,0,2017-01-23
38993,1,0,0,6,1,2017-01-23
38992,2,1,7,1,0,2017-01-24
38991,2,0,7,3,0,2017-01-24
38990,9,3,4,4,9,2017-01-24
38989,9,3,9,0,0,2017-01-25
38988,8,5,5,4,5,2017-01-25
38987,8,6,3,3,3,2017-01-25
38986,5,1,2,8,7,2017-01-26
38985,4,4,5,2,6,2017-01-26
38984,8,8,6,1,9,2017-01-26
38983,5,3,9,6,2,2017-01-27
38982,7,6,0,0,7,2017-01-27
