CONCURSO,R1,R2,R3,R4,R5,FECHA
47706,6,2,5,6,2,2007-11-21
47705,3,4,9,3,9,2007-11-21
47704,9,6,2,9,9,2007-11-22
47703,9,7,7,3,0,2007-11-22
47702,6,5,9,4,9,2007-11-23
47701,2,9,4,4,5,2007-11-23
47700,8,3,9,2,5,2007-11-24
47699,9,4,8,8,1,2007-11-24
47698,3,5,6,0,3,2007-11-25
47697,8,2,8,0,2,2007-11-25
47696,5,6,3,7,4,2007-11-26
47695,3,3,4,3,4,2007-11-26
47694,7,6,2,0,7,2007-11-27
47693,1,4,0,8,3,2007-11-27
47692,4,9,9,4,0,2007-11-28
47691,1,7,6,0,8,2007-11-28
47690,8,5,4,7,3,2007-11-29
47689,3,5,8,7,8,2007-11-29
47688,3,5,5,5,8,2007-11-30
47687,0,7,8,9,3,2007-11-30
47686,5,7,9,5,7,2007-12-01
47685,2,8,8,4,4,2007-12-01
47684,3,8,6,8,5,2007-12-02
47683,6,3,9,6,3,2007-12-02
47682,5,5,6,3,4,2007-12-03
47681,9,0,5,4,0,2007-12-03
47680,6,3,5,5,6,2007-12-04
47679,1,2,2,9,6,2007-12-04
47678,5,5,8,1,0,2007-12-05
47677,9,0,7,8,3,2007-12-05
47676,8,8,4,2,9,2007-12-06
47675,9,7,9,3,3,2007-12-06
47674,3,6,0,7,6,2007-12-07
47673,6,3,2,0,4,2007-12-07
47672,7,7,8,3,1,2007-12-08
47671,9,0,3,5,8,2007-12-08
47670,1,0,0,7,9,2007-12-09
47669,0,4,8,5,5,2007-12-09
47668,1,0,6,3,0,2007-12-10
47667,9,4,3,0,4,2007-12-10
47666,6,3,2,3,0,2007-12-11
47665,3,3,2,1,5,2007-12-11
47664,9,1,4,2,4,2007-12-12
47663,7,6,9,2,7,2007-12-12
47662,4,9,5,3,1,2007-12-13
47661,3,8,8,7,9,2007-12-13
47660,1,6,5,9,7,2007-12-14
47659,3,9,3,7,2,2007-12-14
47658,0,2,7,9,5,2007-12-15
47657,7,7,4,6,2,2007-12-15
47656,4,4,8,8,1,2007-12-16
47655,2,4,6,2,5,2007-12-16
47654,5,9,0,0,6,2007-12-17
47653,0,4,1,1,5,2007-12-17
47652,2,8,6,0,3,2007-12-18
47651,1,0,2,9,6,2007-12-18
47650,6,5,3,4,8,2007-12-19
47649,4,8,8,6,8,2007-12-19
47648,6,0,0,2,1,2007-12-20
47647,3,1,0,4,3,2007-12-20
47646,1,8,9,6,9,2007-12-21
47645,9,3,2,2,0,2007-12-21
47644,0,4,5,5,5,2007-12-22
47643,9,6,6,2,5,2007-12-22
47642,5,5,6,5,6,2007-12-23
47641,7,8,2,1,4,2007-12-23
47640,3,6,1,4,3,2007-12-24
47639,4,1,9,2,8,2007-12-24
47638,5,4,5,3,2,2007-12-25
47637,4,7,9,3,5,2007-12-25
47636,1,2,0,0,3,2007-12-26
47635,1,4,4,1,2,2007-12-26
47634,0,5,6,4,7,2007-12-27
47633,2,9,7,1,1,2007-12-27
47632,9,1,4,3,9,2007-12-28
47631,5,2,9,2,6,2007-12-28
47630,0,4,6,2,2,2007-12-29
47629,3,3,2,8,4,2007-12-29
47628,4,4,5,5,0,2007-12-30
47627,5,2,3,7,3,2007-12-30
47626,5,0,1,9,8,2007-12-31
47625,0,0,9,9,1,2007-12-31
47624,8,1,4,6,7,2008-01-01
47623,3,8,8,0,3,2008-01-01
47622,1,8,0,0,4,2008-01-02
47621,5,8,7,1,6,2008-01-02
47620,3,8,4,3,1,2008-01-03
47619,0,2,0,5,1,2008-01-03
47618,4,8,3,8,9,2008-01-04
47617,6,7,3,7,7,2008-01-04
47616,6,5,1,7,8,2008-01-05
47615,2,5,1,4,6,2008-01-05
47614,6,7,3,4,8,2008-01-06
47613,2,2,8,1,4,2008-01-06
47612,3,3,0,9,1,2008-01-07
47611,5,7,4,0,9,2008-01-07
47610,7,3,2,8,5,2008-01-08
47609,9,2,2,3,5,2008-01-08
47608,0,1,8,1,1,2008-01-09
47607,0,1,2,1,9,2008-01-09
47606,4,8,7,6,3,2008-01-10
47605,0,4,4,8,8,2008-01-10
47604,5,0,2,3,1,2008-01-11
47603,6,7,3,2,7,2008-01-11
47602,8,5,8,6,9,2008-01-12
47601,4,7,0,7,6,2008-01-12
47600,7,3,6,2,0,2008-01-13
47599,5,5,9,6,6,2008-01-13
47598,1,0,7,5,6,2008-01-14
47597,9,4,1,5,1,2008-01-14
47596,0,2,4,3,6,2008-01-15
47595,5,2,0,2,5,2008-01-15
47594,8,0,2,4,9,2008-01-16
47593,5,9,6,9,0,2008-01-16
47592,1,0,6,0,2,2008-01-17
47591,0,3,9,6,3,2008-01-17
47590,5,1,4,8,9,2008-01-18
47589,3,7,0,1,3,2008-01-18
47588,6,0,7,9,3,2008-01-19
47587,5,1,2,6,8,2008-01-19
47586,0,9,6,3,8,2008-01-20
47585,9,8,6,9,4,2008-01-20
47584,2,6,7,4,7,2008-01-21
47583,3,3,7,9,4,2008-01-21
47582,4,5,2,8,8,2008-01-22
47581,5,5,9,0,5,2008-01-22
47580,9,1,1,9,7,2008-01-23
47579,8,9,2,0,9,2008-01-23
47578,0,3,1,6,4,2008-01-24
47577,5,5,4,9,1,2008-01-24
47576,4,8,5,8,4,2008-01-25
47575,2,7,9,3,8,2008-01-25
47574,8,3,6,6,4,2008-01-26
47573,8,4,3,8,6,2008-01-26
47572,8,6,9,5,6,2008-01-27
47571,3,1,0,4,2,2008-01-27
47570,3,9,6,0,7,2008-01-28
47569,6,0,8,5,6,2008-01-28
47568,1,7,2,7,2,2008-01-29
47567,9,1,4,2,8,2008-01-29
47566,5,7,1,3,2,2008-01-30
47565,4,8,1,7,2,2008-01-30
47564,0,5,1,3,4,2008-01-31
47563,7,1,3,8,4,2008-01-31
47562,9,3,5,5,3,2008-02-01
47561,4,0,4,2,4,2008-02-01
47560,6,7,7,5,5,2008-02-02
47559,9,8,5,5,3,2008-02-02
47558,1,0,5,8,9,2008-02-03
47557,6,5,9,6,2,2008-02-03
47556,0,9,8,5,8,2008-02-04
47555,5,0,7,6,1,2008-02-04
47554,1,3,2,2,0,2008-02-05
47553,5,0,2,2,8,2008-02-05
47552,0,0,4,2,8,2008-02-06
47551,3,8,5,6,7,2008-02-06
47550,3,5,6,7,8,2008-02-07
47549,0,8,3,1,6,2008-02-07
47548,5,7,8,1,1,2008-02-08
47547,5,4,5,3,8,2008-02-08
47546,0,1,6,5,1,2008-02-09
47545,1,9,2,6,4,2008-02-09
47544,7,4,3,5,0,2008-02-10
47543,5,7,9,6,5,2008-02-10
47542,9,0,7,4,7,2008-02-11
