CONCURSO,F1,F2,F3,F4,F5,F6,F7,FECHA,PRIMOS,REPETIDOS,MEDIA
1346,5,8,17,23,31,39,11,2023-08-12,4,3,20.5
1345,8,27,31,32,37,39,14,2023-08-08,2,1,29
1344,2,3,7,30,31,38,23,2023-08-05,4,1,18.5
1343,3,19,20,27,28,32,15,2023-08-01,2,0,21.5
1342,4,8,9,10,15,17,2,2023-07-29,1,0,10.5
1341,13,16,19,26,31,35,25,2023-07-25,3,1,23.3
1340,2,5,13,17,23,25,15,2023-07-22,5,2,14.2
1339,3,5,12,13,24,26,36,2023-07-18,3,1,13.8
1338,14,17,18,24,32,34,27,2023-07-15,1,0,23.2
1337,2,3,6,11,16,26,25,2023-07-11,3,0,10.7
1336,4,5,14,27,30,32,12,2023-07-08,1,1,18.7
1335,4,17,21,24,29,38,15,2023-07-04,2,1,22.2
1334,2,14,15,20,26,38,12,2023-07-01,1,1,19.2
1333,1,7,15,21,28,31,6,2023-06-27,2,1,17.2
1332,2,4,7,11,17,19,16,2023-06-24,5,1,10
1331,6,11,18,21,24,27,10,2023-06-20,1,0,17.8
1330,2,10,13,22,28,38,17,2023-06-17,2,3,18.8
1329,8,10,12,13,25,28,18,2023-06-13,1,3,16
1328,2,8,13,28,29,34,21,2023-06-10,3,0,19
1327,4,24,25,30,32,37,12,2023-06-06,1,1,25.3
1326,8,10,15,24,27,28,17,2023-06-03,0,1,18.7
1325,1,5,19,22,27,33,30,2023-05-30,2,2,17.8
1324,1,8,17,24,27,28,4,2023-05-27,1,1,17.5
1323,1,7,13,30,33,34,9,2023-05-23,2,2,19.7
1322,6,22,30,31,33,39,3,2023-05-20,1,1,26.8
1321,3,5,8,21,30,36,25,2023-05-16,2,2,17.2
1320,3,19,23,24,36,38,32,2023-05-13,3,0,23.8
1319,7,17,26,27,28,37,12,2023-05-09,3,2,23.7
1318,6,12,15,27,28,31,33,2023-05-06,1,1,19.8
1317,7,12,20,30,32,34,38,2023-05-02,1,0,22.5
1316,1,8,14,19,31,39,9,2023-04-29,2,2,18.7
1315,4,8,11,25,31,38,36,2023-04-25,2,1,19.5
1314,7,8,15,17,20,36,12,2023-04-22,2,1,17.2
1313,1,7,14,26,31,32,19,2023-04-18,2,0,18.5
1312,12,17,22,23,25,39,19,2023-04-15,2,0,23
1311,10,21,28,33,36,38,30,2023-04-11,0,1,27.7
1310,9,23,25,29,31,33,12,2023-04-08,3,0,25
1309,12,22,26,35,36,39,23,2023-04-04,0,1,28.3
1308,15,18,20,25,34,39,31,2023-04-01,0,0,25.2
1307,12,21,23,26,35,36,10,2023-03-28,1,1,25.5
1306,3,6,14,26,30,39,36,2023-03-25,1,1,19.7
1305,3,4,10,11,13,22,31,2023-03-21,3,0,10.5
1304,2,8,12,16,17,38,37,2023-03-18,2,1,15.5
1303,1,6,17,28,32,33,15,2023-03-14,1,1,19.5
1302,1,9,13,25,31,35,19,2023-03-11,2,1,19
1301,6,15,16,26,32,35,22,2023-03-07,0,1,21.7
1300,8,17,27,32,34,37,7,2023-03-04,2,0,25.8
1299,7,15,19,26,29,38,28,2023-02-28,3,1,22.3
1298,6,12,21,23,26,31,37,2023-02-25,2,3,19.8
1297,6,7,21,23,29,36,16,2023-02-21,3,1,20.3
1296,20,23,24,30,33,35,34,2023-02-18,1,0,27.5
1295,3,8,19,25,34,38,35,2023-02-14,2,2,21.2
1294,12,15,25,30,32,38,24,2023-02-11,0,2,25.3
1293,10,12,15,22,27,34,36,2023-02-07,0,2,20
1292,2,7,22,25,27,31,5,2023-02-04,3,1,19
1291,9,14,18,19,25,35,4,2023-01-31,1,0,20
1290,2,3,8,21,23,29,19,2023-01-28,4,3,14.3
1289,2,11,21,24,29,35,28,2023-01-24,3,1,20.3
1288,3,12,20,22,29,34,38,2023-01-21,2,0,20
1287,7,21,23,24,26,28,20,2023-01-17,2,1,21.5
1286,8,13,18,28,34,39,5,2023-01-14,1,1,23.3
1285,14,19,30,31,35,39,5,2023-01-10,2,0,28
1284,8,13,23,26,36,38,34,2023-01-07,2,1,24
1283,1,4,5,8,21,30,39,2023-01-03,1,1,11.5
1282,3,8,15,20,31,35,28,2022-12-31,2,1,18.7
1281,1,3,10,19,27,30,17,2022-12-27,2,1,15
1280,3,4,7,17,21,38,16,2022-12-24,3,2,15
1279,4,8,14,17,33,39,7,2022-12-20,1,1,19.2
1278,3,5,16,19,26,39,34,2022-12-17,3,0,18
1277,6,10,11,25,33,34,30,2022-12-13,1,0,19.8
1276,1,2,4,19,32,36,31,2022-12-10,2,0,15.7
1275,10,12,14,17,26,37,8,2022-12-06,2,1,19.3
1274,7,14,16,25,30,38,23,2022-12-03,1,1,21.7
1273,1,4,8,16,26,36,27,2022-11-29,0,1,15.2
1272,3,6,19,26,34,38,17,2022-11-26,2,0,21
1271,17,18,24,28,30,35,10,2022-11-22,1,0,25.3
1270,4,7,19,26,31,34,30,2022-11-19,3,1,20.2
1269,3,11,24,32,34,38,22,2022-11-15,2,1,23.7
1268,4,8,24,25,26,39,34,2022-11-12,0,1,21
1267,2,7,8,14,15,21,4,2022-11-08,2,2,11.2
1266,2,14,22,24,26,30,34,2022-11-05,1,0,19.7
1265,3,15,17,23,31,36,2,2022-11-01,4,2,20.8
1264,2,8,17,29,36,39,15,2022-10-29,3,1,21.8
1263,3,22,25,30,36,37,13,2022-10-25,2,0,25.5
1262,1,7,9,21,33,38,22,2022-10-22,1,2,18.2
1261,7,8,23,28,31,38,1,2022-10-18,3,0,22.5
1260,6,12,13,26,36,37,19,2022-10-15,2,1,21.7
1259,2,15,21,25,32,36,12,2022-10-11,1,0,21.8
