CONCURSO,ID,F1,F2,F3,F4,F5,F6,F7,BOLSA,FECHA,PRIMOS,REPETIDOS,MEDIA
1195,2982993,13,15,18,21,25,35,32,8000000,2022-03-01,1,1,21.2
1194,804498,2,10,14,16,21,27,37,6700000,2022-02-26,1,0,15.0
1193,953454,3,4,7,22,24,39,26,5300000,2022-02-22,2,0,16.5
1192,846495,2,12,16,17,18,30,19,5200000,2022-02-19,2,2,15.8
1191,2067590,6,12,18,22,27,35,29,5100000,2022-02-15,0,0,20.0
1190,2529425,9,10,11,28,31,39,34,5000000,2022-02-12,2,0,21.3
1189,2133724,6,18,26,27,29,37,7,28700000,2022-02-08,2,0,23.8
1188,533895,2,3,10,12,15,39,22,26500000,2022-02-05,2,0,13.5
1187,2634300,9,16,26,28,33,35,20,24300000,2022-02-01,0,0,24.5
1186,542018,2,3,12,19,22,36,7,22300000,2022-01-29,3,0,15.7
1185,145361,1,4,8,24,31,38,2,20500000,2022-01-25,1,0,17.7
1184,516733,2,3,6,12,16,23,30,18700000,2022-01-22,3,1,10.3
1183,167247,1,4,16,19,27,37,8,16900000,2022-01-18,2,0,17.3
1182,881847,2,14,22,24,32,33,17,15000000,2022-01-15,1,0,21.2
1181,218522,1,5,19,26,31,34,39,13300000,2022-01-11,3,2,19.3
1180,1179933,3,10,13,19,29,31,30,11500000,2022-01-08,5,1,17.5
1179,540262,2,3,11,30,32,34,19,10000000,2022-01-04,3,3,18.7
1178,1196639,3,11,12,14,28,32,9,8300000,2022-01-01,2,1,16.7
1177,2849879,11,16,23,24,26,37,29,6500000,2021-12-28,3,0,22.8
1176,1677986,5,6,22,34,35,38,11,6000000,2021-12-25,1,0,23.3
1175,2902756,12,14,15,30,33,37,13,5300000,2021-12-21,1,0,23.5
1174,650747,2,5,17,18,19,38,31,5200000,2021-12-18,4,2,16.5
1173,627222,2,5,8,21,26,37,28,5100000,2021-12-14,3,0,16.5
1172,1421713,4,7,13,18,25,36,26,5000000,2021-12-11,2,1,17.2
1171,1997062,6,9,13,24,26,35,1,6300000,2021-12-07,1,1,18.8
1170,2411242,8,11,13,16,25,31,33,5300000,2021-12-04,3,0,17.3
1169,2126865,6,17,23,32,37,39,5,5200000,2021-11-30,3,1,25.7
1168,3010901,13,18,25,29,32,38,10,5100000,2021-11-27,2,1,25.8
1167,184007,1,5,7,10,28,29,18,5000000,2021-11-23,3,0,13.3
1166,1236657,3,13,15,17,18,21,6,13500000,2021-11-20,3,2,14.5
1165,2005695,6,9,18,21,29,31,5,11900000,2021-11-16,2,1,19.0
1164,289823,1,7,15,30,31,34,14,10300000,2021-11-13,2,0,19.7
1163,2645554,9,18,22,23,36,37,38,8700000,2021-11-09,2,0,24.2
1162,849619,2,12,17,28,34,39,26,7000000,2021-11-06,2,1,22.0
1161,793459,2,9,23,32,33,35,4,5400000,2021-11-02,2,0,22.3
1160,1588366,4,15,17,19,22,37,23,5300000,2021-10-30,3,0,19.0
1159,3021845,13,21,23,29,30,35,19,5200000,2021-10-26,3,0,25.2
1158,123728,1,3,25,27,37,39,12,5100000,2021-10-23,2,1,22.0
1157,3122880,15,23,26,31,35,37,25,5000000,2021-10-19,3,0,27.8
1156,1022820,3,5,14,20,22,39,1,5300000,2021-10-16,2,1,17.2
1155,3002258,13,17,21,22,28,33,26,5200000,2021-10-12,2,2,22.3
1154,2891650,12,13,16,26,30,33,25,5100000,2021-10-09,1,2,21.7
1153,207880,1,5,13,21,30,35,27,5000000,2021-10-05,2,2,17.5
1152,2015975,6,10,12,13,20,35,9,10300000,2021-10-02,1,1,16.0
1151,971387,3,4,12,19,23,37,18,9000000,2021-09-28,4,0,16.3
1150,2299773,7,14,21,24,34,36,25,7500000,2021-09-25,1,0,22.7
1149,3004893,13,17,25,28,38,39,23,6300000,2021-09-21,2,0,26.7
1148,328279,1,8,21,22,34,37,31,5300000,2021-09-18,1,0,20.5
1147,2864285,11,18,25,27,31,39,36,5200000,2021-09-14,2,0,25.2
1146,137631,1,4,7,10,28,29,16,5100000,2021-09-11,2,1,13.2
1145,2688604,10,11,26,35,38,39,5,5000000,2021-09-07,1,1,26.5
1144,600233,2,4,14,26,30,37,23,5200000,2021-09-04,2,2,18.8
1143,733346,2,7,21,31,37,39,4,5100000,2021-08-31,4,1,22.8
1142,240337,1,6,10,24,28,31,36,5000000,2021-08-28,1,2,16.7
1141,96618,1,3,9,21,24,33,30,9000000,2021-08-24,1,2,15.2
1140,110937,1,3,14,18,31,34,5,7300000,2021-08-21,2,1,16.8
1139,2786819,10,28,29,30,31,39,1,5700000,2021-08-17,2,1,27.8
1138,1527642,4,11,14,21,27,30,24,5300000,2021-08-14,1,1,17.8
1137,121322,1,3,21,23,35,37,10,5200000,2021-08-10,3,1,20.0
1136,3058152,14,17,25,32,37,39,15,5100000,2021-08-07,2,0,27.3
1135,96748,1,3,9,22,24,27,29,5000000,2021-08-03,1,0,14.3
1134,1648587,5,6,8,26,29,39,15,5000000,2021-07-31,2,0,18.8
1133,601872,2,4,15,22,31,38,24,5300000,2021-07-27,2,2,18.7
1132,1313923,3,27,31,32,34,38,20,5200000,2021-07-24,2,1,27.5
1131,502776,2,3,4,6,16,37,12,5100000,2021-07-20,3,2,11.3
1130,916587,2,18,26,28,32,37,24,5000000,2021-07-17,2,2,23.8
1129,790573,2,9,20,21,27,37,17,5200000,2021-07-13,2,1,19.3
1128,1554849,4,12,20,35,36,38,8,5100000,2021-07-10,0,1,24.2
1127,1430165,4,7,17,23,29,37,36,5000000,2021-07-06,5,1,19.5
1126,123449,1,3,24,29,33,38,36,18000000,2021-07-03,2,1,21.3
1125,2465744,8,14,17,29,31,34,37,16500000,2021-06-29,3,0,22.2
1124,732105,2,7,20,24,32,33,3,14700000,2021-06-26,2,0,19.7
1123,2940207,12,17,31,36,37,39,25,13300000,2021-06-22,3,2,28.7
1122,2638525,9,17,20,30,31,38,26,11700000,2021-06-19,2,2,24.2
1121,1302026,3,20,25,28,34,38,35,10000000,2021-06-15,1,2,24.7
1120,1205424,3,11,15,24,29,38,28,8700000,2021-06-12,3,2,20.0
1119,1182238,3,10,14,19,29,36,35,7500000,2021-06-08,3,2,18.5
1118,2689587,10,12,13,14,30,39,23,6000000,2021-06-05,1,1,19.7
1117,2090060,6,14,15,19,25,31,11,5300000,2021-06-01,2,1,18.3
1116,397089,1,11,18,23,31,39,17,5200000,2021-05-29,3,1,20.5
1115,2229339,7,10,17,20,29,31,8,5100000,2021-05-25,4,3,19.0
1114,1188350,3,10,17,25,29,37,6,5000000,2021-05-22,4,0,20.2
1113,2656880,9,20,28,34,38,39,1,7300000,2021-05-18,0,1,28.0
1112,2864812,11,18,26,35,36,39,23,5900000,2021-05-15,1,2,27.5
1111,2943176,12,18,21,33,35,37,39,5300000,2021-05-11,1,0,26.0
1110,2055525,6,11,25,27,31,38,13,5200000,2021-05-08,2,1,23.0
1109,2111795,6,15,26,32,35,39,11,5100000,2021-05-04,0,1,25.5
1108,3253837,23,28,29,30,32,38,33,5000000,2021-05-01,2,0,30.0
1107,1681879,5,7,8,12,27,31,14,5000000,2021-04-27,3,0,15.0
1106,3058064,14,17,25,29,36,38,33,5100000,2021-04-24,2,1,26.5
1105,306593,1,8,10,17,22,28,16,5000000,2021-04-20,1,0,14.3
1104,2884863,11,27,29,34,35,37,3,21000000,2021-04-17,3,1,28.8
1103,3025030,13,22,25,28,35,36,33,19300000,2021-04-13,1,0,26.5
1102,1926751,6,7,10,12,17,18,3,17700000,2021-04-10,2,1,11.7
1101,1049871,3,6,9,28,29,30,15,16000000,2021-04-06,2,3,17.5
1100,1312397,3,25,28,30,33,36,24,14400000,2021-04-03,1,0,25.8
1099,1686140,5,7,9,13,19,31,17,13100000,2021-03-30,5,0,14.0
1098,2421403,8,11,18,23,24,30,20,11700000,2021-03-27,2,1,19.0
1097,332975,1,9,10,13,24,34,39,10300000,2021-03-23,1,0,15.2
1096,1040815,3,6,7,22,30,35,14,8800000,2021-03-20,2,1,17.2
1095,1954798,6,8,9,12,33,38,30,7500000,2021-03-16,0,1,17.7
1094,2547318,9,10,22,25,31,36,35,6000000,2021-03-13,1,1,22.2
1093,2168893,7,8,12,31,32,39,13,5300000,2021-03-09,2,2,21.5
1092,1827904,5,12,16,27,34,39,36,5200000,2021-03-06,1,1,22.2
1091,1458291,4,8,15,23,27,30,36,5100000,2021-03-02,1,0,17.8
1090,3196664,18,20,32,33,34,37,7,5000000,2021-02-27,1,0,29.0
1089,2417170,8,11,15,27,29,38,28,22300000,2021-02-23,2,1,21.3
1088,1707050,5,7,16,25,27,31,10,20500000,2021-02-20,3,1,18.5
1087,2802915,11,12,23,25,29,30,27,19000000,2021-02-16,3,0,21.7
1086,3113173,15,20,21,28,37,39,36,17300000,2021-02-13,1,1,26.7
1085,2639061,9,17,21,25,31,38,19,15800000,2021-02-09,2,0,23.5
1084,757932,2,8,16,19,37,39,36,14000000,2021-02-06,3,1,20.2
1083,977743,3,4,15,16,28,35,5,12700000,2021-02-02,1,0,16.8
1082,2017707,6,10,12,20,27,31,36,11000000,2021-01-30,1,1,17.7
1081,2523046,8,24,29,31,32,33,27,9700000,2021-01-26,2,1,26.2
1080,3139943,16,18,24,34,35,36,21,8300000,2021-01-23,0,2,27.2
1079,1195537,3,10,27,32,35,36,16,7000000,2021-01-19,1,0,23.8
1078,2109574,6,15,22,23,30,38,19,5800000,2021-01-16,1,0,22.3
1077,2853659,11,17,19,20,27,29,24,5300000,2021-01-12,4,2,20.5
1076,2775410,10,20,27,31,34,35,7,5200000,2021-01-09,1,1,26.2
1075,2286918,7,13,21,23,24,31,22,5100000,2021-01-05,4,0,19.8
1074,1191891,3,10,20,26,32,37,36,5000000,2021-01-02,2,1,21.3
1073,2688677,10,11,27,29,31,36,23,5000000,2020-12-29,3,0,24.0
1072,166724,1,4,16,17,19,38,36,7000000,2020-12-26,2,2,15.8
1071,1601754,4,16,20,28,33,35,37,5900000,2020-12-22,0,1,22.7
1070,2212005,7,9,23,30,33,38,3,5300000,2020-12-19,2,0,23.3
1069,2976035,13,14,21,28,36,39,23,5200000,2020-12-15,1,0,25.2
1068,2054874,6,11,23,31,32,35,24,5100000,2020-12-12,3,0,23.0
1067,3112018,15,19,27,34,38,39,3,5000000,2020-12-08,1,0,28.7
1066,106786,1,3,12,23,29,30,14,11600000,2020-12-05,3,1,16.3
1065,1672061,5,6,17,20,30,37,15,10300000,2020-12-01,3,0,19.2
1064,1117802,3,8,10,11,25,39,38,8900000,2020-11-28,2,1,16.0
1063,71479,1,3,4,20,22,33,23,7700000,2020-11-24,1,2,13.8
1062,944740,3,4,6,8,30,31,22,6500000,2020-11-21,2,2,13.7
1061,1241664,3,13,17,31,33,38,24,5500000,2020-11-17,4,2,22.5
1060,1513281,4,10,17,30,31,39,8,5300000,2020-11-14,2,1,21.8
1059,1459454,4,8,16,19,25,27,3,5200000,2020-11-10,1,1,16.5
1058,1945063,6,7,17,19,21,31,16,5100000,2020-11-07,4,2,16.8
1057,807579,2,10,15,21,28,31,5,5000000,2020-11-03,2,0,17.8
1056,2165815,7,8,11,27,34,39,32,5000000,2020-10-31,2,0,21.0
1055,699109,2,6,24,33,35,36,37,5200000,2020-10-27,1,2,22.7
1054,2009781,6,9,22,25,32,36,19,5100000,2020-10-24,0,1,21.7
1053,629380,2,5,9,13,19,31,35,5000000,2020-10-20,5,0,13.2
1052,986352,3,4,21,22,24,37,16,12000000,2020-10-17,2,1,18.5
1051,2949057,12,19,23,27,34,37,20,10800000,2020-10-13,3,1,25.3
1050,1404411,4,7,8,15,20,23,25,9500000,2020-10-10,2,1,12.8
1049,1490815,4,9,18,29,30,38,21,8300000,2020-10-06,1,1,21.3
1048,431309,1,13,19,35,36,38,21,7100000,2020-10-03,2,2,23.7
1047,423903,1,13,15,17,25,37,7,6000000,2020-09-29,3,0,18.0
1046,661398,2,6,7,12,18,29,25,5400000,2020-09-26,3,2,12.3
1045,1449092,4,8,12,13,14,29,26,5300000,2020-09-22,2,1,13.3
1044,3192382,18,19,28,29,32,37,25,5200000,2020-09-19,3,1,27.2
1043,1524637,4,11,13,17,28,38,25,5100000,2020-09-15,3,1,18.5
1042,1284251,3,17,20,25,35,39,8,5000000,2020-09-12,2,0,23.2
1041,2704815,10,12,23,27,33,36,26,5400000,2020-09-08,1,0,26.0
1040,3152195,16,21,26,28,31,34,11,5300000,2020-09-05,1,0,26.0
1039,2433893,8,12,15,20,23,35,1,5200000,2020-09-01,1,0,18.8
1038,375991,1,10,18,19,27,34,36,5100000,2020-08-29,1,1,18.2
1037,679785,2,6,11,27,32,37,17,5000000,2020-08-25,3,1,19.2
1036,990081,3,4,31,32,34,36,13,13000000,2020-08-22,2,1,23.3
1035,1459945,4,8,16,22,27,33,18,11900000,2020-08-18,0,1,18.3
1034,2014108,6,10,11,17,20,33,15,10800000,2020-08-15,2,1,16.2
1033,1242012,3,13,18,20,26,32,22,9800000,2020-08-11,2,1,18.7
1032,2871482,11,20,22,25,31,38,4,8600000,2020-08-08,2,1,24.5
1031,701647,2,7,8,11,27,30,24,7600000,2020-08-04,3,1,14.2
1030,2896503,12,13,20,25,26,27,24,6600000,2020-08-01,1,1,20.5
1029,808,1,2,3,5,13,16,6,5900000,2020-07-28,4,0,6.7
1028,2767288,10,19,20,21,24,25,39,5800000,2020-07-25,1,3,19.8
1027,148970,1,4,9,21,24,25,34,5700000,2020-03-31,0,1,14.0
1026,1861839,5,14,22,25,35,39,27,5300000,2020-03-28,1,2,23.3
1025,2896511,12,13,20,25,26,35,38,5200000,2020-03-24,1,1,21.8
1024,1288872,3,18,19,22,26,32,5,5100000,2020-03-21,2,0,20.0
1023,1416955,4,7,11,23,25,33,20,5000000,2020-03-17,3,0,17.2
1022,2648464,9,18,32,37,38,39,13,5000000,2020-03-14,1,2,28.8
1021,2660105,9,21,30,32,34,35,14,10300000,2020-03-10,0,1,26.8
1020,1436192,4,7,23,31,33,35,29,8900000,2020-03-07,3,0,22.2
1019,2823993,11,14,17,18,24,29,15,7500000,2020-03-03,3,1,18.8
1018,2316013,7,16,18,22,25,26,19,6200000,2020-02-29,1,0,19.0
1017,234305,1,6,9,13,15,19,35,5300000,2020-02-25,2,0,10.5
1016,1352197,4,5,16,29,31,32,6,5200000,2020-02-22,3,0,19.5
1015,2287185,7,13,21,25,30,33,24,5100000,2020-02-18,2,0,21.5
1014,1267683,3,15,20,22,26,29,33,5000000,2020-02-15,2,0,19.2
1013,346528,1,9,14,27,30,37,26,9400000,2020-02-11,1,0,19.7
1012,619816,2,5,7,10,21,39,29,7900000,2020-02-08,3,1,14.0
1011,2697371,10,12,16,23,26,30,32,6600000,2020-02-04,1,2,19.5
1010,3218715,19,23,26,31,35,36,24,5300000,2020-02-01,3,0,28.3
1009,205634,1,5,12,24,29,37,10,5200000,2020-01-28,3,2,18.0
1008,3257487,24,30,34,37,38,39,23,5100000,2020-01-25,1,0,33.7
1007,1604900,4,16,26,28,31,33,2,5000000,2020-01-21,1,1,23.0
1006,1189185,3,10,18,21,26,27,28,5400000,2020-01-18,1,1,17.5
1005,1574834,4,14,15,21,28,37,32,5200000,2020-01-14,1,1,19.8
1004,1539376,4,11,24,25,26,39,20,5100000,2020-01-11,1,2,21.5
1003,589276,2,4,10,28,33,39,3,5000000,2020-01-07,1,1,19.3
1002,2976085,13,14,21,30,31,33,22,36900000,2020-01-04,2,2,23.7
1001,2725479,10,14,16,29,33,35,31,35000000,2019-12-31,1,1,22.8
1000,564521,2,4,5,14,34,39,36,32900000,2019-12-28,2,2,16.3
999,3126735,15,26,34,37,38,39,10,31400000,2019-12-24,1,1,31.5
998,2015463,6,10,11,26,27,29,21,29600000,2019-12-21,2,0,18.2
997,314599,1,8,13,14,20,28,19,27800000,2019-12-17,1,1,14.0
996,1824294,5,12,14,32,34,39,19,25900000,2019-12-14,1,0,22.7
995,2384996,8,10,11,15,25,38,29,24200000,2019-12-10,1,1,17.8
994,1099528,3,7,14,19,22,38,33,22400000,2019-12-07,3,0,17.2
993,153841,1,4,11,12,27,36,24,20800000,2019-12-03,1,1,15.2
992,1469,1,2,3,6,18,34,11,19000000,2019-11-30,2,1,10.7
991,2136949,6,19,22,27,37,38,2,17400000,2019-11-26,2,2,24.8
990,752753,2,8,13,27,36,37,3,16000000,2019-11-23,3,2,20.5
989,2165755,7,8,11,26,36,38,3,14500000,2019-11-19,2,1,21.0
988,140687,1,4,7,23,25,27,8,12800000,2019-11-16,2,1,14.5
987,590290,2,4,11,14,22,33,21,11500000,2019-11-12,2,1,14.3
986,474496,1,17,25,30,32,33,21,10000000,2019-11-09,1,1,23.0
985,2197325,7,9,13,17,24,34,26,8600000,2019-11-05,3,0,17.3
984,1335342,4,5,10,15,26,27,7,7400000,2019-11-02,1,0,14.5
983,388529,1,11,13,28,33,36,2,6400000,2019-10-29,2,0,20.3
982,577765,2,4,8,10,14,16,30,5300000,2019-10-26,1,0,9.0
981,2009093,6,9,21,25,31,35,4,5200000,2019-10-22,1,1,21.2
980,339842,1,9,12,15,33,34,23,5100000,2019-10-19,0,1,17.3
979,1588191,4,15,17,18,23,36,13,5000000,2019-10-15,2,1,18.8
978,3192371,18,19,28,29,31,33,27,52000000,2019-10-12,3,0,26.3
977,2390587,8,10,13,15,32,34,37,49900000,2019-10-08,1,1,18.7
976,1689241,5,7,10,11,27,30,16,47900000,2019-10-05,3,1,15.0
975,1182782,3,10,14,23,26,33,13,45800000,2019-10-01,2,2,18.2
974,2906689,12,14,18,22,23,30,31,43600000,2019-09-28,1,2,19.8
973,364121,1,10,12,18,20,24,34,41500000,2019-09-24,0,2,14.2
972,1179713,3,10,13,18,26,34,33,39500000,2019-09-21,2,2,17.3
971,1217518,3,12,13,17,25,37,10,37900000,2019-09-17,4,1,17.8
970,1887305,5,17,20,28,30,36,25,35900000,2019-09-14,2,2,22.7
969,3180883,17,22,26,27,36,38,39,34200000,2019-09-10,1,2,27.7
968,2144001,6,21,22,30,32,38,8,32400000,2019-09-07,0,1,24.8
967,459419,1,15,33,35,38,39,32,30500000,2019-09-03,0,1,26.8
966,757195,2,8,15,30,32,37,31,28500000,2019-08-31,2,0,20.7
965,336473,1,9,11,14,20,22,7,27000000,2019-08-27,1,0,12.8
964,1661057,5,6,12,16,36,37,26,25500000,2019-08-24,2,2,18.7
963,3130053,16,17,19,25,26,37,30,23900000,2019-08-20,3,0,23.3
962,1679754,5,6,27,29,34,35,26,22300000,2019-08-17,2,1,22.7
961,2175498,7,8,15,25,31,35,11,20700000,2019-08-13,2,0,20.2
960,2608314,9,14,17,30,36,37,11,19200000,2019-08-10,2,0,23.8
959,1363876,4,6,7,15,16,25,34,17800000,2019-08-06,1,0,12.2
958,2398939,8,10,17,18,36,39,33,16000000,2019-08-03,1,0,21.3
957,3250261,23,24,25,26,28,30,19,14800000,2019-07-30,1,1,26.0
956,2989139,13,15,26,32,38,39,9,13400000,2019-07-27,1,1,27.2
955,721750,2,7,14,15,30,36,28,12200000,2019-07-23,2,0,17.3
954,1212825,3,11,21,23,24,38,35,10800000,2019-07-20,3,1,20.0
953,3233936,20,26,29,31,37,38,22,9400000,2019-07-16,3,1,30.2
952,153201,1,4,10,26,27,33,7,8000000,2019-07-13,0,2,16.8
951,69427,1,3,4,12,17,32,16,7000000,2019-07-09,2,2,11.5
950,2267463,7,12,17,21,24,37,14,5800000,2019-07-06,3,2,19.7
949,3173494,17,20,22,24,29,31,11,5300000,2019-07-02,3,1,23.8
948,312715,1,8,12,17,18,23,31,5200000,2019-06-29,2,0,13.2
947,1372879,4,6,9,16,27,33,24,5100000,2019-06-25,0,1,15.8
946,1978216,6,8,18,21,23,32,4,5000000,2019-06-22,1,2,18.0
945,329709,1,8,23,24,29,37,38,5300000,2019-06-18,3,0,20.3
944,935270,2,25,27,31,33,38,9,5200000,2019-06-15,2,0,26.0
943,1381033,4,6,11,23,28,35,22,5100000,2019-06-11,2,1,17.8
942,515709,2,3,6,9,21,34,31,5000000,2019-06-08,2,0,12.5
941,282603,1,7,12,25,29,35,15,5000000,2019-06-04,2,1,18.2
940,722566,2,7,14,19,24,37,5,5200000,2019-06-01,4,0,17.2
939,1848076,5,13,21,22,23,36,8,5100000,2019-05-28,3,0,20.0
938,1069628,3,6,17,24,25,33,5,5000000,2019-05-25,2,0,18.0
937,2394209,8,10,14,22,29,36,7,21800000,2019-05-21,1,1,19.8
936,591970,2,4,11,22,26,35,31,20200000,2019-05-18,2,2,16.7
935,2517871,8,22,23,24,35,37,17,18800000,2019-05-14,2,1,24.8
934,2361430,8,9,11,16,21,32,31,17400000,2019-05-11,1,1,16.2
933,679740,2,6,11,26,37,38,21,16000000,2019-05-07,3,1,20.0
932,2899992,12,13,26,29,35,39,15,14600000,2019-05-04,2,2,25.7
931,2593037,9,13,16,19,30,39,12,13300000,2019-04-30,2,0,21.0
930,728444,2,7,17,22,32,36,27,12000000,2019-04-27,3,1,19.3
929,2700700,10,12,18,28,32,37,19,10500000,2019-04-23,1,2,22.8
928,2587207,9,12,26,28,31,36,20,9300000,2019-04-20,1,0,23.7
927,1503191,4,10,13,14,16,25,6,8300000,2019-04-16,1,2,13.7
926,1520582,4,10,30,37,38,39,35,7200000,2019-04-13,1,2,26.3
925,560497,2,3,28,33,38,39,5,6000000,2019-04-09,2,0,23.8
924,1327704,4,5,8,15,34,35,32,5300000,2019-04-06,1,0,16.8
923,353930,1,9,19,23,25,29,30,5200000,2019-04-02,3,1,17.7
922,2818165,11,13,23,30,31,33,37,5100000,2019-03-30,4,0,23.5
921,8047,1,2,4,6,20,28,18,5000000,2019-03-26,1,2,10.2
920,700822,2,7,8,9,24,28,22,5100000,2019-03-23,2,1,13.0
919,2597985,9,13,19,27,33,36,7,5000000,2019-03-19,2,0,22.8
918,627747,2,5,8,25,35,38,39,46500000,2019-03-16,2,0,18.8
917,1384717,4,6,13,14,21,32,22,44700000,2019-03-12,1,2,15.0
916,239502,1,6,10,18,32,37,27,42700000,2019-03-09,1,0,17.3
915,2626810,9,16,17,20,24,39,13,41000000,2019-03-05,1,0,20.8
914,2163666,7,8,11,14,26,38,18,39000000,2019-03-02,2,1,17.3
913,1640265,5,6,7,9,25,32,27,37600000,2019-02-26,2,1,14.0
912,2174007,7,8,15,16,24,28,18,36000000,2019-02-23,1,0,16.3
911,1985179,6,9,10,11,13,21,15,34300000,2019-02-19,2,2,11.7
910,2772545,10,20,21,25,35,39,3,32600000,2019-02-16,0,1,25.0
909,1658874,5,6,11,20,28,29,17,31000000,2019-02-12,3,2,16.5
908,841060,2,12,13,20,23,29,10,29400000,2019-02-09,4,1,16.5
907,2375452,8,9,17,20,25,30,37,27800000,2019-02-05,1,3,18.2
906,2161449,7,8,10,19,20,30,29,26000000,2019-02-02,2,1,15.7
905,920301,2,19,23,28,29,35,12,24600000,2019-01-29,4,2,22.7
904,639632,2,5,12,14,25,29,30,23000000,2019-01-26,3,1,14.5
903,2531660,9,10,12,21,27,38,26,21600000,2019-01-22,0,1,19.5
902,1317830,4,5,6,14,21,35,32,20000000,2019-01-19,1,1,14.2
901,2553189,9,11,13,14,23,30,6,18700000,2019-01-15,3,0,16.7
900,3166427,17,18,25,27,34,36,1,17300000,2019-01-12,1,2,26.2
899,2504276,8,18,24,26,27,39,35,16000000,2019-01-08,0,3,23.7
898,3148321,16,20,24,26,27,29,1,14500000,2019-01-05,1,0,23.7
897,1315485,4,5,6,8,14,32,38,13000000,2019-01-01,1,1,11.5
896,2753477,10,16,28,29,32,33,36,11700000,2018-12-29,1,0,24.7
895,1982268,6,8,22,24,30,34,5,10900000,2018-12-25,0,2,20.7
894,562055,2,4,5,8,15,34,13,9600000,2018-12-22,2,0,11.3
893,494482,1,22,25,27,29,33,23,8800000,2018-12-18,1,1,22.8
892,1593241,4,15,21,23,25,32,26,7600000,2018-12-15,1,1,20.0
891,764147,2,8,21,22,30,34,9,6400000,2018-12-11,1,2,19.5
890,770355,2,9,10,19,26,30,14,5400000,2018-12-08,2,1,16.0
889,1994618,6,9,12,25,33,37,26,5300000,2018-12-04,1,0,20.3
888,2337702,7,19,21,28,38,39,6,5200000,2018-12-01,2,1,25.3
887,2478950,8,15,19,32,35,37,17,5100000,2018-11-27,2,1,24.3
886,2704879,10,12,23,28,35,36,19,5000000,2018-11-24,1,0,24.0
885,317146,1,8,14,15,18,38,31,5000000,2018-11-20,0,2,15.7
884,113527,1,3,15,22,24,27,16,5300000,2018-11-17,1,3,15.3
883,1237927,3,13,15,24,30,32,16,5200000,2018-11-13,2,1,19.5
882,338196,1,9,11,22,26,32,6,5100000,2018-11-10,1,1,16.8
881,3090562,15,16,21,22,27,29,19,5000000,2018-11-06,1,0,21.7
880,1901198,5,19,25,34,35,39,31,5200000,2018-11-03,2,2,26.2
879,3119239,15,21,29,34,38,39,32,5100000,2018-10-30,1,1,29.3
878,2823773,11,14,16,29,36,37,25,5000000,2018-10-27,3,2,23.8
877,2978860,13,14,28,31,33,37,6,11200000,2018-10-23,3,2,26.0
876,3204161,18,24,25,28,31,38,9,10000000,2018-10-20,1,0,27.3
875,2487920,8,16,20,21,26,36,6,8900000,2018-10-16,0,1,21.2
874,3114886,15,20,24,29,31,39,4,7700000,2018-10-13,2,0,26.3
873,2597914,9,13,19,26,32,37,6,6600000,2018-10-09,3,2,22.7
872,314587,1,8,13,14,19,35,38,5400000,2018-10-06,2,0,15.0
871,1087935,3,7,10,17,18,20,8,5300000,2018-10-02,3,1,12.5
870,2732768,10,14,24,26,29,30,32,5200000,2018-09-29,1,2,22.2
869,2281465,7,13,16,26,29,39,14,5100000,2018-09-25,3,1,21.7
868,1997613,6,9,14,15,16,30,7,5000000,2018-09-22,0,2,15.0
867,233764,1,6,9,11,21,31,5,15900000,2018-09-18,2,0,13.2
866,1244049,3,13,19,29,30,38,18,14500000,2018-09-15,4,1,22.0
865,2015819,6,10,11,35,37,38,14,13300000,2018-09-11,2,1,22.8
864,953843,3,4,7,25,31,35,11,12000000,2018-09-08,3,1,17.5
863,1584923,4,14,24,32,34,39,10,10800000,2018-09-04,0,1,24.5
862,870793,2,13,25,27,29,39,15,9600000,2018-09-01,3,2,22.5
861,571397,2,4,6,21,27,31,25,8500000,2018-08-28,2,1,15.2
860,282619,1,7,12,25,31,34,13,7500000,2018-08-25,2,1,18.3
859,2614037,9,14,24,26,31,37,13,6400000,2018-08-21,2,3,23.5
858,2211191,7,9,22,26,27,37,35,5400000,2018-08-18,2,0,21.3
857,2826094,11,14,18,23,24,30,27,5300000,2018-08-14,2,1,20.0
856,2144328,6,21,23,26,29,31,3,5200000,2018-08-11,3,0,22.7
855,811921,2,10,18,19,30,37,31,5100000,2018-08-07,3,1,19.3
854,2434213,8,12,15,22,25,37,17,5000000,2018-08-04,1,2,19.8
853,1262046,3,15,16,18,25,34,1,5200000,2018-07-31,1,0,18.5
852,1987136,6,9,10,17,23,37,14,5100000,2018-07-28,3,1,17.0
851,650159,2,5,16,23,35,36,29,5000000,2018-07-24,3,0,19.5
850,1923361,6,7,9,13,14,26,12,22300000,2018-07-21,2,1,12.5
849,137983,1,4,7,11,25,39,24,20900000,2018-07-17,2,1,14.5
848,824682,2,11,14,15,19,26,9,19500000,2018-07-14,3,2,14.5
847,916700,2,18,26,31,33,35,5,18300000,2018-07-10,2,4,24.2
846,936149,2,26,28,31,33,37,21,17000000,2018-07-07,3,1,26.2
845,504925,2,3,4,11,15,29,19,15700000,2018-07-03,4,1,10.7
844,336639,1,9,11,14,32,38,24,14300000,2018-06-30,1,0,17.5
843,3099503,15,17,23,25,35,39,3,13000000,2018-06-26,2,1,25.7
842,540942,2,3,12,14,28,39,17,12000000,2018-06-23,2,0,16.3
841,325283,1,8,18,22,26,34,29,10800000,2018-06-19,0,1,18.2
