NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,FECHA,PRIMOS
60,26259,8,0,8,1,3,2021-01-08,1
60,26258,7,7,2,6,2,2021-01-08,4
60,26257,2,1,7,2,2,2021-01-07,4
60,26256,5,7,3,9,3,2021-01-07,4
60,26255,0,3,1,6,9,2021-01-07,1
60,26254,5,3,3,1,2,2021-01-07,4
60,26253,5,2,1,1,8,2021-01-07,2
60,26252,9,6,1,2,1,2021-01-06,1
60,26251,8,5,0,6,2,2021-01-06,2
60,26250,6,5,3,7,6,2021-01-06,3
60,26249,6,7,1,1,2,2021-01-06,2
60,26248,9,4,4,7,6,2021-01-06,1
60,26247,0,5,7,5,1,2021-01-05,3
60,26246,6,2,7,4,6,2021-01-05,2
60,26245,0,6,1,6,0,2021-01-05,0
60,26244,3,0,1,6,5,2021-01-05,2
60,26243,4,3,7,9,2,2021-01-05,3
60,26242,9,5,6,4,3,2021-01-04,2
60,26241,4,5,2,9,6,2021-01-04,2
60,26240,4,9,4,6,4,2021-01-04,0
60,26239,8,2,1,3,3,2021-01-04,3
60,26238,0,3,8,9,3,2021-01-04,2
60,26237,8,3,1,4,2,2021-01-03,2
60,26236,9,1,1,9,8,2021-01-03,0
60,26235,9,8,2,0,7,2021-01-03,2
60,26234,1,8,9,9,5,2021-01-03,1
60,26233,8,9,6,9,2,2021-01-03,1
60,26232,2,0,3,1,6,2021-01-02,2
60,26231,9,8,7,1,0,2021-01-02,1
60,26230,7,3,5,1,6,2021-01-02,3
60,26229,9,9,6,5,9,2021-01-02,1
60,26228,6,3,0,4,2,2021-01-02,2
60,26227,7,7,6,7,6,2021-01-01,3
60,26226,3,5,6,3,7,2021-01-01,4
60,26225,7,3,7,9,8,2021-01-01,3
60,26224,7,9,8,7,7,2021-01-01,3
60,26223,6,6,8,8,5,2021-01-01,1
60,26222,2,1,2,9,1,2020-12-31,2
60,26221,9,6,8,2,1,2020-12-31,1
60,26220,9,1,2,6,3,2020-12-31,2
60,26219,5,3,1,0,7,2020-12-31,3
60,26218,2,1,6,1,0,2020-12-31,1
60,26217,7,0,5,0,6,2020-12-30,2
60,26216,1,7,2,5,5,2020-12-30,4
60,26215,7,2,3,9,5,2020-12-30,4
60,26214,9,0,4,2,4,2020-12-30,1
60,26213,4,3,9,2,4,2020-12-30,2
60,26212,0,3,8,8,9,2020-12-29,1
60,26211,3,9,7,7,8,2020-12-29,3
60,26210,6,5,8,1,1,2020-12-29,1
60,26209,5,2,5,8,1,2020-12-29,3
60,26208,7,1,5,9,1,2020-12-29,2
60,26207,3,6,9,6,5,2020-12-28,2
60,26206,0,1,1,3,7,2020-12-28,2
60,26205,9,4,3,2,0,2020-12-28,2
60,26204,1,1,4,8,9,2020-12-28,0
60,26203,7,3,7,0,9,2020-12-28,3
60,26202,5,1,3,5,3,2020-12-27,4
60,26201,7,8,4,8,8,2020-12-27,1
60,26200,0,1,7,1,6,2020-12-27,1
60,26199,2,2,5,6,6,2020-12-27,3
60,26198,0,8,2,2,4,2020-12-27,2
60,26197,3,0,5,4,2,2020-12-26,3
60,26196,6,7,3,8,2,2020-12-26,3
60,26195,4,4,7,7,6,2020-12-26,2
60,26194,8,2,9,5,4,2020-12-26,2
60,26193,5,7,6,8,0,2020-12-26,2
60,26192,3,7,6,1,1,2020-12-25,2
60,26191,8,9,6,0,3,2020-12-25,1
60,26190,4,5,5,5,4,2020-12-25,3
60,26189,6,3,6,4,0,2020-12-25,1
60,26188,8,0,5,8,3,2020-12-25,2
60,26187,5,6,4,6,4,2020-12-24,1
60,26186,8,3,1,4,6,2020-12-24,1
60,26185,8,5,6,1,5,2020-12-24,2
60,26184,9,9,4,5,3,2020-12-24,2
60,26183,2,8,1,2,3,2020-12-24,3
60,26182,6,0,7,1,9,2020-12-23,1
60,26181,4,1,6,8,7,2020-12-23,1
