CONCURSO,ID,F1,F2,F3,F4,F5,F6,F7,FECHA
853,1262046,3,15,16,18,25,34,1,2018-07-31
852,1987136,6,9,10,17,23,37,14,2018-07-28
851,650159,2,5,16,23,35,36,29,2018-07-24
850,1923361,6,7,9,13,14,26,12,2018-07-21
849,137983,1,4,7,11,25,39,24,2018-07-17
848,824682,2,11,14,15,19,26,9,2018-07-14
847,916700,2,18,26,31,33,35,5,2018-07-10
846,936149,2,26,28,31,33,37,21,2018-07-07
845,504925,2,3,4,11,15,29,19,2018-07-03
844,336639,1,9,11,14,32,38,24,2018-06-30
843,3099503,15,17,23,25,35,39,3,2018-06-26
842,540942,2,3,12,14,28,39,17,2018-06-23
841,325283,1,8,18,22,26,34,29,2018-06-19
840,2516303,8,21,24,30,32,38,28,2018-06-16
839,2049789,6,11,18,20,31,35,26,2018-06-12
838,1659939,5,6,12,13,15,21,38,2018-06-09
837,1600824,4,16,19,29,32,35,11,2018-06-05
836,1128768,3,8,13,19,28,32,27,2018-06-02
835,1222891,3,12,15,23,32,36,8,2018-05-29
834,2258944,7,12,13,16,30,39,22,2018-05-26
833,1171237,3,9,25,30,36,39,19,2018-05-22
832,1543104,4,12,13,23,24,25,29,2018-05-19
831,1932957,6,7,11,27,32,33,34,2018-05-15
830,3140346,16,18,26,27,29,38,6,2018-05-12
829,832359,2,11,18,19,27,30,23,2018-05-08
828,182256,1,5,6,24,28,39,16,2018-05-05
827,441966,1,14,18,21,29,39,5,2018-05-01
826,1093883,3,7,12,16,17,19,20,2018-04-28
825,1152595,3,9,12,15,21,36,33,2018-04-24
824,1275137,3,16,18,31,36,38,37,2018-04-21
823,2632411,9,16,22,25,30,31,33,2018-04-17
822,584524,2,4,9,19,22,37,26,2018-04-14
821,767560,2,8,28,32,36,39,5,2018-04-10
820,527431,2,3,8,16,20,30,31,2018-04-07
819,2051606,6,11,19,26,30,37,22,2018-04-03
818,1034570,3,5,23,28,33,34,2,2018-03-31
817,678625,2,6,11,18,27,32,5,2018-03-27
816,3078000,14,22,25,26,29,36,3,2018-03-24
815,408212,1,12,14,26,28,30,32,2018-03-20
814,1239694,3,13,16,24,29,37,26,2018-03-17
813,102516,1,3,11,16,20,22,29,2018-03-13
812,1307438,3,22,25,28,30,36,10,2018-03-10
811,1701065,5,7,13,26,30,33,31,2018-03-06
810,2760925,10,17,28,34,36,38,26,2018-03-03
809,1241511,3,13,17,27,36,37,29,2018-02-27
808,2428520,8,12,13,15,24,26,16,2018-02-24
807,2965094,12,26,29,33,37,38,5,2018-02-20
806,1495217,4,9,24,25,34,38,39,2018-02-17
805,2369975,8,9,14,19,27,34,39,2018-02-13
804,1900185,5,19,23,28,29,39,35,2018-02-10
803,656245,2,5,21,27,28,36,31,2018-02-06
802,581709,2,4,8,33,34,36,26,2018-02-03
801,2694918,10,12,15,19,20,21,29,2018-01-30
800,2168322,7,8,12,23,26,29,3,2018-01-27
799,2943927,12,18,23,24,28,32,15,2018-01-23
798,2604794,9,14,15,26,34,37,23,2018-01-20
797,2481615,8,15,23,25,30,36,33,2018-01-16
796,2811025,11,13,16,27,36,39,29,2018-01-13
795,804126,2,10,13,35,36,38,17,2018-01-09
794,1860389,5,14,20,26,30,37,24,2018-01-06
793,666538,2,6,8,14,19,29,5,2018-01-02
792,1680741,5,7,8,9,27,28,16,2017-12-30
791,1140647,3,8,20,25,31,34,22,2017-12-26
790,939928,3,4,5,10,17,29,25,2017-12-23
789,661181,2,6,7,11,26,31,18,2017-12-19
788,689391,2,6,15,24,31,36,37,2017-12-16
787,1830973,5,12,18,33,34,38,11,2017-12-12
786,2536351,9,10,14,20,23,36,5,2017-12-09
785,127775,1,4,5,12,17,36,26,2017-12-05
784,2922268,12,15,23,33,37,39,6,2017-12-02
783,1518068,4,10,22,27,30,35,19,2017-11-28
782,1675709,5,6,20,22,24,26,3,2017-11-25
781,274376,1,7,10,14,22,36,17,2017-11-21
780,1267968,3,15,20,24,31,39,10,2017-11-18
779,2761572,10,18,19,21,32,39,35,2017-11-14
778,2746708,10,16,18,19,23,38,8,2017-11-11
777,2288350,7,13,23,24,32,34,12,2017-11-07
776,2319602,7,16,21,29,38,39,12,2017-11-04
775,1533269,4,11,17,23,30,36,31,2017-10-31
774,543853,2,3,13,15,33,34,19,2017-10-28
773,2676915,10,11,15,16,34,38,8,2017-10-24
772,1621812,4,19,23,26,30,34,17,2017-10-21
771,1830365,5,12,18,23,26,38,3,2017-10-17
770,2271373,7,12,20,25,26,29,3,2017-10-14
769,147349,1,4,9,14,16,36,3,2017-10-10
768,3154722,16,22,26,32,33,38,31,2017-10-07
767,1996622,6,9,13,20,35,37,32,2017-10-03
766,2143750,6,21,22,26,27,34,30,2017-09-30
765,2602172,9,13,26,28,33,38,7,2017-09-26
764,3112857,15,20,21,24,32,33,14,2017-09-23
763,2956772,12,21,25,27,29,32,38,2017-09-19
762,1422480,4,7,13,23,25,33,21,2017-09-16
761,866848,2,13,19,25,37,38,15,2017-09-12
760,139196,1,4,7,15,23,29,20,2017-09-09
759,301310,1,8,9,11,30,35,34,2017-09-05
758,1961026,6,8,10,25,36,39,11,2017-09-02
757,1184117,3,10,15,18,36,39,38,2017-08-29
756,433700,1,13,22,31,32,34,10,2017-08-26
755,1756462,5,9,12,19,28,33,29,2017-08-22
754,1374827,4,6,10,11,16,19,32,2017-08-19
753,621641,2,5,7,16,18,38,33,2017-08-15
752,1910676,5,22,26,29,33,34,13,2017-08-12
751,3122704,15,23,26,27,33,34,14,2017-08-08
750,3050469,14,16,24,32,36,37,2,2017-08-05
749,1991798,6,9,11,27,28,38,8,2017-08-01
748,519991,2,3,7,8,11,16,30,2017-07-29
747,1448392,4,8,11,22,36,37,10,2017-07-25
746,2565486,9,11,19,27,33,37,7,2017-07-22
745,3039592,14,15,21,25,36,39,34,2017-07-18
744,573194,2,4,7,10,11,18,20,2017-07-15
743,2952917,12,20,23,27,31,39,25,2017-07-11
742,661674,2,6,7,13,16,23,26,2017-07-08
741,765451,2,8,22,30,34,36,39,2017-07-04
740,1238190,3,13,15,27,33,39,16,2017-07-01
739,3173849,17,20,22,29,31,34,15,2017-06-27
738,721910,2,7,14,16,23,27,35,2017-06-24
737,2488611,8,16,20,28,30,34,39,2017-06-20
736,590339,2,4,11,14,25,37,31,2017-06-17
735,1880903,5,16,21,30,32,37,13,2017-06-13
734,545567,2,3,13,26,30,31,34,2017-06-10
733,616000,2,5,6,13,28,31,27,2017-06-06
732,1505195,4,10,13,23,36,39,7,2017-06-03
731,264152,1,6,28,29,36,38,2,2017-05-30
730,474331,1,17,25,27,28,38,3,2017-05-27
729,2607033,9,14,17,18,30,35,19,2017-05-23
728,2374856,8,9,16,29,36,37,19,2017-05-20
727,158915,1,4,12,21,31,38,20,2017-05-16
726,2850847,11,16,24,33,37,38,4,2017-05-13
725,831215,2,11,17,20,28,34,31,2017-05-09
724,2850820,11,16,24,32,34,35,38,2017-05-06
723,835240,2,11,20,25,26,38,22,2017-05-02
722,2593103,9,13,16,20,22,34,31,2017-04-29
721,2497379,8,17,22,27,31,38,3,2017-04-25
720,649233,2,5,16,18,21,27,35,2017-04-22
719,2313465,7,15,28,29,34,37,20,2017-04-18
718,582669,2,4,9,12,19,21,32,2017-04-15
717,3247394,22,25,26,29,33,38,5,2017-04-11
716,458340,1,15,25,30,34,36,9,2017-04-08
715,827399,2,11,15,18,19,25,12,2017-04-04
714,3099328,15,17,23,24,26,27,2,2017-04-01
713,679548,2,6,11,24,32,35,22,2017-03-28
712,236812,1,6,9,25,32,35,4,2017-03-25
711,2075177,6,13,14,18,24,26,5,2017-03-21
710,2497952,8,17,23,27,33,38,1,2017-03-18
709,3073917,14,21,22,23,25,32,17,2017-03-14
708,1886631,5,17,20,21,28,32,3,2017-03-11
707,2644773,9,18,21,23,24,38,31,2017-03-07
706,1638131,4,26,32,34,38,39,7,2017-03-04
705,703205,2,7,8,16,32,38,21,2017-02-28
704,2085120,6,13,20,27,28,35,15,2017-02-25
703,302021,1,8,9,13,36,37,22,2017-02-21
702,749569,2,8,12,22,23,30,11,2017-02-18
701,2881938,11,24,26,27,35,38,23,2017-02-14
700,626689,2,5,8,18,25,31,22,2017-02-11
699,1676164,5,6,20,26,28,37,35,2017-02-07
698,1771307,5,9,20,33,34,39,18,2017-02-04
697,969723,3,4,11,36,38,39,5,2017-01-31
696,1358159,4,5,22,23,24,36,30,2017-01-28
695,2078451,6,13,15,28,31,34,17,2017-01-24
694,2416462,8,11,15,20,36,37,31,2017-01-21
693,3138560,16,18,22,25,32,37,30,2017-01-17
692,1271384,3,15,26,27,35,37,30,2017-01-14
691,22473,1,2,6,13,29,32,36,2017-01-10
690,3128756,16,17,18,23,30,34,4,2017-01-07
689,2862952,11,18,22,28,30,38,9,2017-01-03
688,97878,1,3,10,11,29,39,26,2016-12-31
687,3237063,21,22,26,30,35,36,16,2016-12-27
686,817635,2,10,24,30,38,39,7,2016-12-24
685,2348449,7,22,24,25,28,29,2,2016-12-20
684,688763,2,6,15,20,22,30,23,2016-12-17
683,2440655,8,12,19,30,31,39,25,2016-12-13
682,2282713,7,13,17,23,28,31,30,2016-12-10
681,2481465,8,15,23,24,25,32,34,2016-12-06
680,286357,1,7,14,17,33,35,34,2016-12-03
679,1372942,4,6,9,16,35,36,38,2016-11-29
678,405976,1,12,13,26,38,39,20,2016-11-26
677,133193,1,4,6,12,16,20,37,2016-11-22
676,273309,1,7,10,11,18,19,28,2016-11-19
675,425229,1,13,15,26,32,39,10,2016-11-15
674,2351988,7,23,31,35,37,39,20,2016-11-12
673,3204895,18,24,28,29,34,38,14,2016-11-08
672,385412,1,11,12,22,33,34,27,2016-11-05
671,2219885,7,10,12,27,32,39,15,2016-11-01
670,2544371,9,10,19,21,28,33,3,2016-10-29
669,1809574,5,11,16,20,30,34,27,2016-10-25
668,912296,2,18,19,26,28,31,15,2016-10-22
667,1458025,4,8,15,21,26,32,37,2016-10-18
666,3001812,13,17,20,25,35,38,10,2016-10-15
665,1398690,4,6,21,25,34,36,9,2016-10-11
664,1322781,4,5,7,14,21,26,8,2016-10-08
663,2506520,8,19,20,25,26,39,36,2016-10-04
662,1122459,3,8,11,16,18,34,15,2016-10-01
661,2890839,12,13,16,20,21,22,33,2016-09-27
660,1463126,4,8,18,25,27,28,14,2016-09-24
659,2085971,6,13,21,27,32,36,29,2016-09-20
658,1576079,4,14,16,18,27,36,30,2016-09-17
657,2250769,7,11,17,31,34,38,5,2016-09-13
656,1643090,5,6,7,18,36,39,14,2016-09-10
655,2308792,7,15,19,26,36,38,14,2016-09-06
654,932806,2,23,27,28,36,37,5,2016-09-03
653,2851290,11,16,26,27,35,36,8,2016-08-30
652,1088107,3,7,10,17,28,37,22,2016-08-27
651,1310593,3,24,25,27,34,35,22,2016-08-23
650,153153,1,4,10,25,30,33,8,2016-08-20
649,2989599,13,15,29,31,32,36,23,2016-08-16
648,1555571,4,12,21,30,33,36,10,2016-08-13
647,382336,1,10,26,29,33,38,20,2016-08-09
646,2690524,10,12,13,18,27,36,8,2016-08-06
645,451963,1,15,17,29,30,35,20,2016-08-02
644,637264,2,5,11,16,27,32,10,2016-07-30
643,2823733,11,14,16,28,38,39,37,2016-07-26
642,3008910,13,18,21,31,33,36,25,2016-07-23
641,2881618,11,24,25,27,30,34,36,2016-07-19
640,1578250,4,14,17,22,26,29,30,2016-07-16
639,1932983,6,7,11,27,37,39,12,2016-07-12
638,687005,2,6,14,21,31,35,32,2016-07-09
637,958397,3,4,8,26,29,33,2,2016-07-05
636,265305,1,7,8,10,22,33,28,2016-07-02
635,1724791,5,8,11,14,17,28,26,2016-06-28
634,2742464,10,15,22,27,31,32,17,2016-06-25
633,1127223,3,8,12,29,32,33,5,2016-06-21
632,987312,3,4,22,24,29,32,23,2016-06-18
631,621393,2,5,7,15,19,23,28,2016-06-14
630,2366424,8,9,13,14,21,30,29,2016-06-11
629,2179267,7,8,18,19,23,31,2,2016-06-07
628,1587155,4,15,16,21,23,26,6,2016-06-04
627,2997213,13,16,24,28,37,39,5,2016-05-31
626,580699,2,4,8,20,27,31,30,2016-05-28
625,1761048,5,9,14,18,20,25,1,2016-05-24
624,1638760,4,28,29,33,34,38,15,2016-05-21
623,2676901,10,11,15,16,32,35,30,2016-05-17
622,1631377,4,22,23,31,32,38,36,2016-05-14
621,2243483,7,11,14,16,17,23,22,2016-05-10
620,1389186,4,6,14,26,36,37,30,2016-05-07
619,425200,1,13,15,26,29,34,24,2016-05-03
618,1058854,3,6,12,20,23,37,19,2016-04-30
617,1317652,4,5,6,13,31,32,30,2016-04-26
616,16840,1,2,5,13,18,20,30,2016-04-23
615,1734389,5,8,14,22,26,28,12,2016-04-19
614,2258288,7,12,13,14,21,29,8,2016-04-16
613,985129,3,4,19,27,36,37,34,2016-04-12
612,324939,1,8,18,20,22,37,3,2016-04-09
611,3252918,23,26,28,31,32,36,24,2016-04-05
610,1439054,4,8,9,12,21,24,7,2016-04-02
609,2658719,9,21,24,28,31,36,33,2016-03-29
608,2389077,8,10,12,21,22,31,15,2016-03-26
607,2659837,9,21,28,30,31,38,34,2016-03-22
606,457278,1,15,23,26,29,30,10,2016-03-19
605,2920360,12,15,21,22,35,36,10,2016-03-15
604,2142053,6,20,24,35,36,37,15,2016-03-12
603,1925535,6,7,9,22,28,35,5,2016-03-08
602,2697831,10,12,16,28,32,38,20,2016-03-05
601,2522009,8,24,25,26,30,32,35,2016-03-01
600,533285,2,3,9,29,30,38,14,2016-02-27
599,2311326,7,15,22,27,37,39,21,2016-02-23
598,1701109,5,7,13,27,28,30,4,2016-02-20
597,955742,3,4,8,12,27,38,24,2016-02-16
596,549961,2,3,15,27,30,35,33,2016-02-13
595,647457,2,5,15,18,21,22,6,2016-02-09
594,1380115,4,6,11,18,19,22,12,2016-02-06
593,3066581,14,19,21,25,34,35,28,2016-02-02
592,524107,2,3,7,22,25,30,6,2016-01-30
591,2124301,6,17,20,24,26,28,3,2016-01-26
590,377862,1,10,19,24,32,35,36,2016-01-23
589,2702406,10,12,20,23,31,36,15,2016-01-19
588,2819444,11,13,27,29,30,31,34,2016-01-16
587,803842,2,10,13,26,35,39,7,2016-01-12
586,2329756,7,17,28,34,37,39,6,2016-01-09
585,1665362,5,6,13,31,33,39,11,2016-01-05
584,2402621,8,10,19,29,37,39,31,2016-01-02
583,229416,1,6,8,10,27,34,29,2015-12-29
582,2246181,7,11,15,18,34,35,6,2015-12-26
581,2568034,9,11,22,29,31,33,32,2015-12-22
580,1891486,5,18,19,20,27,35,33,2015-12-19
579,2820917,11,14,15,19,27,35,17,2015-12-15
578,601809,2,4,15,22,25,38,30,2015-12-12
577,3099668,15,17,23,28,30,35,22,2015-12-08
576,168815,1,4,17,19,30,35,22,2015-12-05
575,1336178,4,5,10,19,22,37,2,2015-12-01
574,2147049,6,22,24,25,26,28,12,2015-11-28
573,2128798,6,18,19,20,25,36,26,2015-11-24
572,825086,2,11,14,16,29,32,7,2015-11-21
571,2046807,6,11,16,20,22,31,35,2015-11-17
570,1384120,4,6,12,24,37,38,27,2015-11-14
569,1720430,5,8,10,11,12,39,3,2015-11-10
568,2872936,11,20,25,26,31,35,27,2015-11-07
567,274601,1,7,10,15,19,39,28,2015-11-03
566,697675,2,6,22,25,26,33,7,2015-10-31
565,105441,1,3,12,16,20,22,8,2015-10-27
564,604812,2,4,17,20,24,33,8,2015-10-24
563,1833358,5,12,21,23,34,38,9,2015-10-20
562,2601293,9,13,24,25,29,38,30,2015-10-17
561,401984,1,11,24,26,32,33,12,2015-10-13
560,2021575,6,10,14,15,29,33,17,2015-10-10
559,3261530,27,30,32,35,36,38,15,2015-10-06
558,2294053,7,14,16,25,31,38,4,2015-10-03
557,115789,1,3,16,26,33,34,8,2015-09-29
556,2507643,8,19,21,29,33,39,20,2015-09-26
555,355316,1,9,20,27,32,36,30,2015-09-22
554,445245,1,14,21,24,29,32,3,2015-09-19
553,524969,2,3,8,9,12,37,33,2015-09-15
552,2697305,10,12,16,22,31,34,24,2015-09-12
551,2214468,7,10,11,13,23,26,25,2015-09-08
550,2716043,10,13,19,21,24,25,1,2015-09-05
549,2724861,10,14,16,22,27,28,31,2015-09-01
548,2743674,10,15,24,31,36,38,12,2015-08-29
547,106220,1,3,12,19,30,35,37,2015-08-25
546,1444048,4,8,10,17,18,36,39,2015-08-22
545,2343511,7,20,25,26,36,37,6,2015-08-18
544,565713,2,4,5,20,22,26,38,2015-08-15
543,2539483,9,10,16,17,18,34,15,2015-08-11
542,413173,1,12,17,22,30,31,4,2015-08-08
541,2948218,12,19,22,24,28,38,4,2015-08-04
540,1361160,4,5,32,34,37,38,2,2015-08-01
539,2953455,12,20,24,28,38,39,18,2015-07-28
538,1623295,4,19,27,28,36,38,9,2015-07-25
537,2235608,7,10,23,27,31,39,16,2015-07-21
536,2827318,11,14,19,23,31,37,8,2015-07-18
535,1870410,5,15,20,21,24,31,12,2015-07-14
534,3038504,14,15,20,23,26,38,34,2015-07-11
533,1739594,5,8,17,21,26,34,10,2015-07-07
532,2624037,9,15,23,24,31,35,3,2015-07-04
531,2372025,8,9,15,19,29,39,14,2015-06-30
530,1180141,3,10,13,20,33,38,35,2015-06-27
529,2779216,10,22,23,25,33,39,20,2015-06-23
528,3194374,18,20,23,24,26,35,16,2015-06-20
527,2784798,10,25,26,30,36,38,19,2015-06-16
526,2465679,8,14,17,28,29,31,7,2015-06-13
525,1625257,4,20,22,28,31,34,7,2015-06-09
524,2067786,6,12,18,24,25,31,37,2015-06-06
523,2095892,6,14,18,32,34,36,22,2015-06-02
522,949766,3,4,7,9,10,32,24,2015-05-30
521,2326176,7,17,20,32,34,39,22,2015-05-26
520,1473313,4,9,11,12,17,26,29,2015-05-23
519,887953,2,15,17,31,34,38,35,2015-05-19
518,2064122,6,12,16,18,33,36,5,2015-05-16
517,649813,2,5,16,21,25,31,28,2015-05-12
516,1887151,5,17,20,26,27,33,38,2015-05-09
515,1085634,3,7,9,25,29,32,33,2015-05-05
514,2566437,9,11,20,27,31,32,37,2015-05-02
513,1623066,4,19,26,28,34,36,8,2015-04-28
512,2019037,6,10,13,14,34,36,29,2015-04-25
511,497816,1,24,25,29,37,38,5,2015-04-21
510,2620047,9,15,18,26,32,34,33,2015-04-18
509,1656834,5,6,11,12,22,26,31,2015-04-14
508,1544234,4,12,14,16,26,39,3,2015-04-11
507,1360574,4,5,27,29,33,36,11,2015-04-07
506,2416966,8,11,15,24,33,39,32,2015-04-04
505,1101036,3,7,15,16,32,38,5,2015-03-31
504,1335128,4,5,10,14,31,39,34,2015-03-28
503,3150337,16,21,22,25,32,33,36,2015-03-24
502,2710520,10,13,15,23,24,27,11,2015-03-21
501,920474,2,19,23,32,35,39,29,2015-03-17
500,1794367,5,10,20,22,30,34,26,2015-03-14
499,1253446,3,14,17,21,23,35,29,2015-03-10
498,78107,1,3,5,24,34,37,30,2015-03-07
497,2183273,7,8,21,28,32,38,14,2015-03-03
496,429392,1,13,18,22,24,39,35,2015-02-28
495,1402171,4,7,8,9,11,26,37,2015-02-24
494,187283,1,5,7,25,26,38,33,2015-02-21
493,3063842,14,18,25,26,29,39,9,2015-02-17
492,1333107,4,5,9,22,33,39,17,2015-02-14
491,302193,1,8,9,14,23,26,31,2015-02-10
490,61533,1,2,20,23,27,29,33,2015-02-07
489,1473202,4,9,10,35,38,39,8,2015-02-03
488,1157231,3,9,13,29,32,36,6,2015-01-31
487,2728249,10,14,18,27,33,35,26,2015-01-27
486,162022,1,4,13,26,29,32,12,2015-01-24
485,2108142,6,15,20,24,26,39,37,2015-01-20
484,2780508,10,22,26,28,32,33,30,2015-01-17
483,797450,2,10,11,19,33,35,8,2015-01-13
482,2621003,9,15,19,24,30,34,31,2015-01-10
481,45649,1,2,12,13,17,24,14,2015-01-06
480,428068,1,13,17,22,25,31,23,2015-01-03
479,2686196,10,11,21,31,34,38,24,2014-12-30
478,2590404,9,13,14,34,36,38,19,2014-12-27
477,2432783,8,12,14,28,34,35,6,2014-12-23
476,829141,2,11,16,17,32,37,13,2014-12-20
475,2052507,6,11,20,25,31,39,13,2014-12-16
474,2735480,10,15,16,22,26,33,27,2014-12-13
473,2678725,10,11,16,17,19,26,14,2014-12-09
472,526415,2,3,8,12,30,33,27,2014-12-06
471,129284,1,4,5,17,24,34,6,2014-12-02
470,2161633,7,8,10,20,21,25,6,2014-11-29
469,676854,2,6,11,12,17,21,4,2014-11-25
468,970140,3,4,12,14,19,20,34,2014-11-22
467,1574778,4,14,15,21,24,31,9,2014-11-18
466,321456,1,8,16,17,20,30,13,2014-11-15
465,2777170,10,21,23,32,34,39,29,2014-11-11
464,2881633,11,24,25,27,32,34,23,2014-11-08
463,85853,1,3,7,12,18,37,21,2014-11-04
462,619369,2,5,7,9,19,35,34,2014-11-01
461,818813,2,10,29,31,36,37,38,2014-10-28
460,1570833,4,13,22,24,33,39,27,2014-10-25
459,2787170,10,29,30,32,33,34,38,2014-10-21
458,2629522,9,16,19,21,33,38,30,2014-10-18
457,2386005,8,10,11,20,22,37,14,2014-10-14
456,1325519,4,5,8,9,21,29,31,2014-10-11
455,385975,1,11,12,29,33,37,32,2014-10-07
454,1967599,6,8,13,14,15,20,12,2014-10-04
453,2128303,6,17,28,30,36,38,33,2014-09-30
452,2072581,6,12,24,25,33,39,26,2014-09-27
451,1702385,5,7,14,19,21,24,33,2014-09-23
450,2948267,12,19,22,24,35,38,36,2014-09-20
449,2791742,11,12,14,22,26,36,4,2014-09-16
448,1180637,3,10,13,24,31,33,26,2014-09-13
447,2544696,9,10,19,24,25,33,12,2014-09-09
446,398140,1,11,19,23,24,27,20,2014-09-06
445,1802495,5,11,13,16,18,26,37,2014-09-02
444,3254707,24,25,26,28,31,38,10,2014-08-30
443,1441770,4,8,9,25,34,36,24,2014-08-26
442,1353116,4,5,17,22,25,34,36,2014-08-23
441,40617,1,2,10,17,22,38,8,2014-08-19
440,3243724,21,29,31,34,36,39,38,2014-08-16
439,262381,1,6,23,25,30,34,2,2014-08-12
438,2829140,11,14,21,24,25,32,6,2014-08-09
437,2620447,9,15,19,20,26,34,22,2014-08-05
436,1958522,6,8,10,13,16,21,15,2014-08-02
435,2271049,7,12,20,22,25,34,30,2014-07-29
434,982889,3,4,18,19,20,25,36,2014-07-26
433,3245710,22,23,30,32,35,37,2,2014-07-22
432,1490620,4,9,18,26,27,39,10,2014-07-19
431,778753,2,9,13,17,26,27,28,2014-07-15
430,576037,2,4,7,19,27,35,13,2014-07-12
429,425734,1,13,16,17,31,34,8,2014-07-08
428,3053828,14,17,19,24,28,33,9,2014-07-05
427,1385943,4,6,13,19,25,36,17,2014-07-01
426,471446,1,17,20,26,38,39,37,2014-06-28
425,409124,1,12,15,18,23,27,16,2014-06-24
424,69468,1,3,4,12,19,32,16,2014-06-21
423,2828019,11,14,20,21,30,33,28,2014-06-17
422,2459546,8,13,25,34,36,37,27,2014-06-14
421,2504344,8,18,24,27,28,30,23,2014-06-10
420,1429344,4,7,17,18,25,32,5,2014-06-07
419,2662569,9,22,31,33,37,39,3,2014-06-03
418,2262131,7,12,14,21,25,26,29,2014-05-31
417,1660861,5,6,12,16,19,28,27,2014-05-27
416,2113677,6,16,17,25,29,34,27,2014-05-24
415,1317117,4,5,6,12,17,25,21,2014-05-20
414,162702,1,4,14,16,20,23,38,2014-05-17
413,2518909,8,22,25,27,32,36,34,2014-05-13
412,1426158,4,7,15,19,21,29,12,2014-05-10
411,853226,2,12,20,35,36,39,38,2014-05-06
410,449976,1,15,16,23,29,37,4,2014-05-03
409,2473187,8,14,33,34,38,39,22,2014-04-29
408,1278969,3,16,23,25,31,38,37,2014-04-26
407,2393580,8,10,14,18,32,33,17,2014-04-22
406,1259095,3,14,22,27,35,39,38,2014-04-19
405,2076687,6,13,15,16,19,38,4,2014-04-15
404,2470797,8,14,22,32,38,39,13,2014-04-12
403,2281340,7,13,16,24,37,39,28,2014-04-08
402,382467,1,10,26,35,37,39,17,2014-04-05
401,2226509,7,10,15,24,26,31,38,2014-04-01
400,2671006,10,11,12,22,26,30,15,2014-03-29
399,1080671,3,7,8,19,20,31,38,2014-03-25
398,2194207,7,9,12,15,22,31,30,2014-03-22
397,2876360,11,21,26,27,33,34,38,2014-03-18
396,2938077,12,17,23,25,33,36,38,2014-03-15
395,2284577,7,13,18,30,36,37,10,2014-03-11
394,1768645,5,9,18,23,32,37,1,2014-03-08
393,2405465,8,10,23,26,33,38,25,2014-03-04
392,1804548,5,11,14,15,18,32,2,2014-03-01
391,94091,1,3,9,11,20,32,17,2014-02-25
390,1895538,5,18,23,34,37,38,29,2014-02-22
389,3204958,18,24,28,31,34,37,7,2014-02-18
388,2189858,7,9,10,26,31,37,33,2014-02-15
387,1051943,3,6,10,16,31,37,19,2014-02-11
386,1253214,3,14,17,19,31,35,27,2014-02-08
385,3209330,19,20,22,24,27,35,7,2014-02-04
384,3029992,13,25,28,31,34,36,15,2014-02-01
383,1126635,3,8,12,22,28,39,16,2014-01-28
382,50097,1,2,13,20,31,38,11,2014-01-25
381,1345441,4,5,13,21,38,39,19,2014-01-21
380,1392945,4,6,16,26,30,34,22,2014-01-18
379,1425400,4,7,14,32,37,38,16,2014-01-14
378,2219816,7,10,12,26,32,36,17,2014-01-11
377,1265818,3,15,18,24,27,36,23,2014-01-07
376,1531919,4,11,16,25,29,39,30,2014-01-04
375,840671,2,12,13,18,21,34,19,2013-12-31
374,2916991,12,15,18,20,21,28,29,2013-12-28
373,46998,1,2,12,18,21,25,26,2013-12-24
372,603972,2,4,16,25,33,38,28,2013-12-21
371,2853368,11,17,18,28,31,36,33,2013-12-17
370,2751566,10,16,22,35,36,38,27,2013-12-14
369,327270,1,8,20,21,27,36,12,2013-12-10
368,2727736,10,14,18,22,27,33,13,2013-12-07
367,3044116,14,16,17,25,26,38,15,2013-12-03
366,3134173,16,17,25,28,36,39,38,2013-11-30
365,3061983,14,18,21,29,34,38,33,2013-11-26
364,2454773,8,13,19,21,23,31,17,2013-11-23
363,2014160,6,10,11,17,23,34,37,2013-11-19
362,1044613,3,6,8,18,26,30,35,2013-11-16
361,2514078,8,20,27,29,32,39,5,2013-11-12
360,494394,1,22,25,26,27,32,23,2013-11-09
359,1843269,5,13,17,18,32,35,8,2013-11-05
358,1995126,6,9,13,14,20,37,38,2013-11-02
357,411486,1,12,16,21,28,39,24,2013-10-29
356,150120,1,4,10,11,21,29,2,2013-10-26
355,20502,1,2,6,8,23,31,39,2013-10-22
354,435112,1,13,25,32,34,35,19,2013-10-19
353,2342467,7,20,23,24,28,33,12,2013-10-15
352,3224059,20,21,22,24,31,38,33,2013-10-12
351,2832111,11,14,27,29,32,33,13,2013-10-08
350,2790137,11,12,13,31,34,39,21,2013-10-05
349,1044474,3,6,8,17,33,38,16,2013-10-01
348,1855554,5,14,16,28,33,39,27,2013-09-28
347,1192354,3,10,21,23,25,28,22,2013-09-24
346,1385381,4,6,13,16,32,35,33,2013-09-21
345,122430,1,3,22,29,33,34,25,2013-09-17
344,1552495,4,12,18,27,31,34,2,2013-09-14
343,2658890,9,21,24,33,36,37,18,2013-09-10
342,1336921,4,5,10,24,26,37,9,2013-09-07
341,2889159,12,13,15,20,26,38,1,2013-09-03
340,929348,2,22,23,24,31,39,27,2013-08-31
339,1895634,5,18,24,25,35,38,4,2013-08-27
338,387007,1,11,13,17,21,27,29,2013-08-24
337,2070716,6,12,21,24,25,36,20,2013-08-20
336,1094561,3,7,12,18,34,35,30,2013-08-17
335,2420687,8,11,17,31,36,38,37,2013-08-13
334,671962,2,6,9,20,21,25,35,2013-08-10
333,1457767,4,8,15,19,33,35,9,2013-08-06
332,605834,2,4,17,31,37,38,11,2013-08-03
331,2818247,11,13,23,32,37,39,9,2013-07-30
